device,framework_1,framework_2,n_models,spearman_rho,p_value
a100_sxm,onnx,torch,13,0.967032967032967,7.064113887175154e-08
cpu_gp_v3,tflite,torch,11,0.9545454545454546,4.988898739949763e-06
cpu_gp_v5,onnx,tflite,11,0.8545454545454546,0.0008066741521648989
cpu_gp_v5,onnx,torch,13,0.9835164835164836,1.611214573209521e-09
cpu_gp_v5,tflite,torch,11,0.9,0.00015997142806871369
cpu_mem_v3,tflite,torch,11,0.9,0.00015997142806871369
cpu_mem_v5,onnx,tflite,11,0.9,0.00015997142806871369
cpu_mem_v5,onnx,torch,13,0.9945054945054945,3.909411051466979e-12
cpu_mem_v5,tflite,torch,11,0.9272727272727275,3.973774256558543e-05
h100_sxm,onnx,torch,13,0.967032967032967,7.064113887175154e-08
h200_sxm,onnx,torch,13,0.9505494505494506,6.363704773478595e-07
l40s,onnx,torch,13,0.967032967032967,7.064113887175154e-08
rtx_3090,onnx,torch,13,0.9835164835164836,1.611214573209521e-09
rtx_4090,onnx,torch,13,0.967032967032967,7.064113887175154e-08
rtx_5090,onnx,torch,13,0.9780219780219779,7.757814031393615e-09
rtx_6000_ada,onnx,torch,13,0.9615384615384615,1.631768081069998e-07
