model_id,n_groups,frm_var,latency_var,memory_var,frm_cv,latency_cv,memory_cv,frm_mean,latency_mean,memory_mean
CN,22,2.313045509623664,113338.63518530295,130138.03721625257,0.4213535979917493,2.9529054038239515,0.1677276235384948,3.609486169588257,114.00908356480508,2150.7876420454545
DE,22,0.23930877238103723,8283.842419485147,425568.0936609904,0.20156818295927448,2.771566868689104,0.3152920136475881,2.4269304383294465,32.83904760796202,2069.052734375
DN,120,0.2185335469431112,94982.34616854558,808256.3358405445,0.12188553212288465,1.101796822437483,1.762415774638607,3.835366756686287,279.71768863862434,510.1127604166667
EN,119,0.03510378977907745,25675.440459222827,843462.4119719352,0.13967987464931436,1.21150922548423,1.8596492379229097,1.341353250219243,132.26112904167923,493.85770089285717
IN,120,1.5115746915009483,93274.66562218573,1970312.2797550992,0.19056894514466924,0.9714366277053395,1.621090108115479,6.451529328333934,314.3890244052035,865.8853190104167
LE,121,0.11620740362525346,5284.132926733944,1010613.530264938,0.26053084568719836,0.9666116469715766,1.8000952472129554,1.308451862763218,75.20294414955116,558.4664256198347
MN,121,0.01942684976402321,470.6383776796339,1022471.4387374019,0.1724783417648329,0.9343044607295049,1.909776446241932,0.8081028206497918,23.219627421047754,529.4720751549587
MV2,121,8.362796722017304e-07,13194.076712416696,1033322.3373782324,0.0009145593132777397,1.2623846621135126,1.9822708612512676,0.9999168651562244,90.99086489652575,512.80814178719
MV3,121,0.007183553150950082,2446.9466687760887,1034275.0955109443,0.19370724761150176,1.2611451403460503,2.007215250010773,0.43754606702611,39.22357560745528,506.66871126033055
MX,120,0.10702898181736889,16766.294710787854,804104.4364974836,0.21096602475954315,1.2474012239345194,1.7789644462106793,1.5507371011514073,103.80359200234872,504.06780598958335
R18,120,0.25877455233020397,11796.478048982073,1031074.6803195975,0.20589411830624577,0.9817962521874706,1.8322569218827125,2.4706819503665636,110.62538929705211,554.1900065104167
R50,120,2.02611689045005,20686.667324805992,854358.6915261619,0.2897844549243907,1.0228045442380835,1.3960894033542257,4.9119864923471885,140.62178819707103,662.0745442708334
SN,119,0.014831673835328766,2610.5216313901287,1080340.1698636673,0.1498025184117003,1.0891602002885759,2.007022079758549,0.8129727122302222,46.91069691814928,517.878774947479
