metric,transfer,mean_rho,median_rho,std_rho,success_rate,n_tests
frm,cpu→edge,0.8867274569402229,0.881818181818182,0.03427112325398384,1.0,94
frm,cpu→gpu,0.8997252747252746,0.8928571428571428,0.017548043321616833,1.0,16
frm,edge→cpu,0.8663636363636364,0.8727272727272728,0.03905448150023921,1.0,10
frm,edge→gpu,0.9676136363636364,0.9727272727272729,0.012406676421778354,1.0,16
frm,gpu→cpu,0.8559440559440559,0.8928571428571428,0.06410070446334044,1.0,10
frm,gpu→edge,0.9625402965828501,0.9727272727272729,0.0246977885342021,1.0,94
frm_q,cpu→edge,0.8952058579718154,0.881818181818182,0.03773886362245801,1.0,94
frm_q,cpu→gpu,0.8818681318681318,0.8818681318681318,0.013607454667404168,1.0,16
frm_q,edge→cpu,0.8581818181818184,0.8636363636363636,0.04619597333372001,1.0,10
frm_q,edge→gpu,0.9676136363636365,0.9727272727272729,0.018473046406214957,1.0,16
frm_q,gpu→cpu,0.8603596403596404,0.901098901098901,0.0737622091507945,1.0,10
frm_q,gpu→edge,0.9613797549967763,0.9727272727272729,0.031049573003993428,1.0,94
ratio_lat,cpu→edge,0.7375310859353413,0.8090909090909092,0.18844330273815174,0.7553191489361702,94
ratio_lat,cpu→gpu,0.3128434065934066,0.2802197802197802,0.0977645058455689,0.0,16
ratio_lat,edge→cpu,0.830909090909091,0.8090909090909091,0.048333095848186396,1.0,10
ratio_lat,edge→gpu,0.6380681818181819,0.6636363636363638,0.0700427850355566,0.875,16
ratio_lat,gpu→cpu,0.33288711288711287,0.3221278721278721,0.08162530083017645,0.0,10
ratio_lat,gpu→edge,0.6421295017039698,0.6318181818181818,0.14532070163656163,0.6382978723404256,94
ratio_mem,cpu→edge,0.30293819655521786,0.3090909090909091,0.058065803576988026,0.0,94
ratio_mem,cpu→gpu,0.29223901098901095,0.27472527472527475,0.21377527963906465,0.125,16
ratio_mem,edge→cpu,0.22000000000000003,0.16363636363636366,0.1784434278222822,0.0,10
ratio_mem,edge→gpu,0.2772727272727273,0.2590909090909091,0.14815671845427902,0.0,16
ratio_mem,gpu→cpu,0.4248167062900219,0.37905887551061,0.14308407408485466,0.1,10
ratio_mem,gpu→edge,0.3293587605830814,0.35616809668223404,0.046941629660981476,0.0,94
ratio_flops,cpu→edge,1.0,1.0,0.0,1.0,94
ratio_flops,cpu→gpu,1.0,1.0,0.0,1.0,16
ratio_flops,edge→cpu,1.0,1.0,0.0,1.0,10
ratio_flops,edge→gpu,1.0,1.0,0.0,1.0,16
ratio_flops,gpu→cpu,1.0,1.0,0.0,1.0,10
ratio_flops,gpu→edge,1.0,1.0,0.0,1.0,94
