ref_device,target_device,pair_type,baseline,spearman_rho,p_value,num_flips,num_models
h100_sxm|torch|none,oneplus_nord_ce_2_lite_5g|tflite|cpu,GPU→Edge,R50,0.9727272727272729,5.14217704904919e-07,0,11
h100_sxm|torch|none,oneplus_nord_ce_2_lite_5g|tflite|cpu,GPU→Edge,MV3,0.9727272727272729,5.14217704904919e-07,0,11
h100_sxm|torch|none,oneplus_nord_ce_2_lite_5g|tflite|cpu,GPU→Edge,EN,0.9727272727272729,5.14217704904919e-07,0,11
h100_sxm|torch|none,oneplus_nord_ce_2_lite_5g|tflite|cpu,GPU→Edge,MN,0.9727272727272729,5.14217704904919e-07,0,11
h100_sxm|torch|none,oneplus_nord_ce_2_lite_5g|tflite|cpu,GPU→Edge,R18,0.9727272727272729,5.14217704904919e-07,0,11
a100_sxm|torch|none,samsung_galaxy_s23_ultra_(global)|tflite|cpu,GPU→Edge,R50,0.9818181818181818,8.403066433955246e-08,0,11
a100_sxm|torch|none,samsung_galaxy_s23_ultra_(global)|tflite|cpu,GPU→Edge,MV3,0.9818181818181818,8.403066433955246e-08,0,11
a100_sxm|torch|none,samsung_galaxy_s23_ultra_(global)|tflite|cpu,GPU→Edge,EN,0.9818181818181818,8.403066433955246e-08,0,11
a100_sxm|torch|none,samsung_galaxy_s23_ultra_(global)|tflite|cpu,GPU→Edge,MN,0.9818181818181818,8.403066433955246e-08,0,11
a100_sxm|torch|none,samsung_galaxy_s23_ultra_(global)|tflite|cpu,GPU→Edge,R18,0.9818181818181818,8.403066433955246e-08,0,11
rtx_4090|torch|none,samsung_galaxy_s22|tflite|cpu,GPU→Edge,R50,0.9818181818181818,8.403066433955246e-08,0,11
rtx_4090|torch|none,samsung_galaxy_s22|tflite|cpu,GPU→Edge,MV3,0.9818181818181818,8.403066433955246e-08,0,11
rtx_4090|torch|none,samsung_galaxy_s22|tflite|cpu,GPU→Edge,EN,0.9818181818181818,8.403066433955246e-08,0,11
rtx_4090|torch|none,samsung_galaxy_s22|tflite|cpu,GPU→Edge,MN,0.9818181818181818,8.403066433955246e-08,0,11
rtx_4090|torch|none,samsung_galaxy_s22|tflite|cpu,GPU→Edge,R18,0.9818181818181818,8.403066433955246e-08,0,11
rtx_3090|torch|none,samsung_galaxy_s21_ultra_5g|tflite|cpu,GPU→Edge,R50,0.9818181818181818,8.403066433955246e-08,0,11
rtx_3090|torch|none,samsung_galaxy_s21_ultra_5g|tflite|cpu,GPU→Edge,MV3,0.9818181818181818,8.403066433955246e-08,0,11
