model_name,top1_acc,top5_acc,samples,model_file_mb,lat_mean,lat_median,lat_std,lat_min,lat_max,lat_p50,lat_p90,lat_p95,lat_p99,thr_mean,thr_median,thr_std,thr_min,thr_max,thr_p50,thr_p90,thr_p95,thr_p99,host_peak_delta_mean_mib,host_peak_delta_median_mib,host_peak_delta_p95_mib,host_peak_delta_max_mib,baseline_idle_host_mib,baseline_postload_host_mib,baseline_idle_dev_mib,baseline_postload_dev_mib,host_global_peak_mib,host_true_os_peak_mib,steady_host_mean_delta_mib_median,steady_dev_mean_delta_mib_median,mem_device_backend,energy_mean_j_per_sample,energy_median_j_per_sample,energy_p95_j_per_sample,energy_host_median_j_per_sample,energy_gpu_median_j_per_sample,energy_dram_median_j_per_sample,energy_mean_j_per_gflop,energy_median_j_per_gflop,gpu_power_mean_w_median,gpu_power_median_w_median,gpu_power_p95_w_median,lat_count,thr_count,host_peak_delta_count_mib,host_peak_delta_std_mib,host_peak_delta_min_mib,host_peak_delta_p50_mib,host_peak_delta_p90_mib,host_peak_delta_p99_mib,energy_count_j_per_sample,energy_std_j_per_sample,energy_min_j_per_sample,energy_max_j_per_sample,energy_p50_j_per_sample,energy_p90_j_per_sample,energy_p99_j_per_sample
convnext_tiny-983f1562.pth,0.822,0.966,1000,109.11867237091064,90.35693794861436,90.0717070326209,1.608011790892415,87.75007538497448,114.06018398702145,90.0717070326209,91.09887983649969,92.06720842048526,96.30157021805644,11.070382929858104,11.102265438778474,0.17855647850076556,8.767301305719329,11.396001605842846,11.102265438778474,11.167310490733525,11.204081535227509,11.337735601245871,1648.792625,1649.265625,1649.265625,1649.265625,463.609375,463.609375,,,2113.875,2668.8671875,2112.875,,PyTorch-cpu,0,0,0,0,0,,,,0,0,0,1000,1000,1000,0.49952029039921947,1648.265625,1649.265625,1649.265625,1649.265625,1000,0,0,0,0,0,0
deit_tiny_distilled_patch16_224.pth,0.741,0.916,1000,22.60559368133545,27.135588813573122,27.01240498572588,0.5860941657048321,26.591436937451363,38.22312876582146,27.01240498572588,27.569848485291004,27.961779665201902,28.928637374192476,36.86670214954282,37.020028413647665,0.6889503479630669,26.162170190897214,37.60609110189155,37.020028413647665,37.338130157857,37.3934867891668,37.51913328761888,1149.3720625,1149.2890625,1150.2890625,1150.2890625,904.34765625,904.34765625,,,2055.63671875,2668.8671875,2053.63671875,,PyTorch-cpu,0,0,0,0,0,,,,0,0,0,1000,1000,1000,0.2760202658994212,1149.2890625,1149.2890625,1149.2890625,1150.2890625,1000,0,0,0,0,0,0
densenet121-a639ec97.pth,0.733,0.909,1000,30.84464454650879,65.99911182746291,65.6684460118413,1.21016551248794,63.83286044001579,78.57678830623627,65.6684460118413,67.19235349446535,68.08350970968604,71.39266202226281,15.156503310458362,15.228013768709257,0.2615752635917807,12.726404598043805,15.665912401649418,15.228013768709257,15.352730377238753,15.393357721981463,15.487452931101396,1151.53303125,1151.70703125,1151.70703125,1151.70703125,906.44140625,906.44140625,,,2059.1484375,2668.8671875,2058.1484375,,PyTorch-cpu,0,0,0,0,0,,,,0,0,0,1000,1000,1000,0.37929917989348183,1150.70703125,1151.70703125,1151.70703125,1151.70703125,1000,0,0,0,0,0,0
efficientnet_b0_torchvision.pth,0.771,0.929,1000,20.460320472717285,20.997897904366255,20.764589309692383,1.192046115375501,20.347295328974724,36.83384507894516,20.764589309692383,21.244954504072666,21.871219389140606,25.45583305880427,47.730249572012596,48.15891061724838,1.9030147382281328,27.148944071864403,49.146581097488244,48.15891061724838,48.52463005195999,48.61481314006813,48.84706354542179,1149.00390625,1149.00390625,1149.00390625,1149.00390625,910.671875,910.671875,,,2060.67578125,2668.8671875,2059.67578125,,PyTorch-cpu,0,0,0,0,0,,,,0,0,0,1000,1000,1000,0.0,1149.00390625,1149.00390625,1149.00390625,1149.00390625,1000,0,0,0,0,0,0
inception_v3_google-0cc3c7bd.pth,0.769,0.931,1000,103.90257549285889,118.16873616725206,117.64211859554052,2.333730174534311,112.83176019787788,146.3461983948946,117.64211859554052,119.85492948442698,121.12795505672693,127.89401235058904,8.46543530389879,8.500356946466505,0.1505117032198208,6.833112243214141,8.862752812206928,8.500356946466505,8.558502758292429,8.582038852301494,8.63145428801022,2077.94921875,2077.94921875,2077.94921875,2077.94921875,911.625,911.625,,,2989.57421875,4011.37109375,2989.57421875,,PyTorch-cpu,0,0,0,0,0,,,,0,0,0,1000,1000,1000,0.0,2077.94921875,2077.94921875,2077.94921875,2077.94921875,1000,0,0,0,0,0,0
levit_128s.pth,0.741,0.923,1000,29.929027557373047,14.04040596447885,13.935184106230736,0.48663035786225534,13.619819656014442,25.817951187491417,13.935184106230736,14.313348568975925,14.647180307656527,15.56702971458435,71.28318538519315,71.76080297223893,1.8018312062642303,38.7327403610745,73.42241125479258,71.76080297223893,72.36807840816648,72.5802941336675,72.87590272067862,1118.28125,1118.28125,1118.28125,1118.28125,943.41015625,943.41015625,,,2061.69140625,4011.37109375,2061.69140625,,PyTorch-cpu,0,0,0,0,0,,,,0,0,0,1000,1000,1000,0.0,1118.28125,1118.28125,1118.28125,1118.28125,1000,0,0,0,0,0,0
mnasnet1.0_top1_73.512-f206786ef8.pth,0.729,0.906,1000,16.915318489074707,14.628949865698814,14.531652443110943,0.35055073989737684,14.268370345234871,17.682671546936035,14.531652443110943,14.924228936433792,15.236166492104527,16.21230311691761,68.39359465964247,68.81529846541466,1.5057531436546203,56.552540567506895,70.08508861237713,68.81529846541466,69.36964590684276,69.5158534682693,69.76294122859974,1148.75390625,1148.75390625,1148.75390625,1148.75390625,913.30859375,913.30859375,,,2062.0625,4011.37109375,2062.0625,,PyTorch-cpu,0,0,0,0,0,,,,0,0,0,1000,1000,1000,0.0,1148.75390625,1148.75390625,1148.75390625,1148.75390625,1000,0,0,0,0,0,0
mobilenet_v2-7ebf99e0.pth,0.713,0.906,1000,13.598034858703613,14.876295175403357,14.80556558817625,0.4372144959327794,14.551188796758652,25.926092639565468,14.80556558817625,15.034515038132668,15.219913236796856,16.282994244247675,67.26177998196148,67.54216811564459,1.4288461980483933,38.57118054395568,68.72290738353658,67.54216811564459,68.0079486344705,68.12150118524214,68.41566836165632,1148.46875,1148.46875,1148.46875,1148.46875,913.8125,913.8125,,,2062.28125,4011.37109375,2062.28125,,PyTorch-cpu,0,0,0,0,0,,,,0,0,0,1000,1000,1000,0.0,1148.46875,1148.46875,1148.46875,1148.46875,1000,0,0,0,0,0,0
mobilenet_v3_small-047dcff4.pth,0.674,0.868,1000,9.829092979431152,7.2756463047116995,7.254649884998798,0.35368598051290295,6.9397445768117905,16.71363227069378,7.254649884998798,7.433440536260605,7.560404017567635,8.092864900827408,137.63401260818145,137.8426273361195,4.196476207501541,59.83139893256071,144.09752245657046,137.8426273361195,141.75479505514514,142.29604904686425,143.14889606465576,1148.2578125,1148.2578125,1148.2578125,1148.2578125,913.99609375,913.99609375,,,2062.25390625,4011.37109375,2062.25390625,,PyTorch-cpu,0,0,0,0,0,,,,0,0,0,1000,1000,1000,0.0,1148.2578125,1148.2578125,1148.2578125,1148.2578125,1000,0,0,0,0,0,0
mobilevit_xxs.pth,0.663,0.875,1000,4.980935096740723,17.574272314086556,17.423062585294247,0.6730367559170746,17.080817371606827,28.933001682162285,17.423062585294247,17.96815749257803,18.43415256589651,19.77752212435007,56.964482806778015,57.39519071957662,1.6854312372613331,34.56260815885266,58.54520765863841,57.39519071957662,58.0024459154475,58.10873569093803,58.293572724840026,576.10546875,576.10546875,576.10546875,576.10546875,914.19921875,914.19921875,,,1490.3046875,4011.37109375,1490.3046875,,PyTorch-cpu,0,0,0,0,0,,,,0,0,0,1000,1000,1000,0.0,576.10546875,576.10546875,576.10546875,576.10546875,1000,0,0,0,0,0,0
