model_name,top1_acc,top5_acc,samples,model_file_mb,param_bytes_mb,lat_mean_ms,lat_median_ms,lat_std_ms,lat_min_ms,lat_max_ms,lat_p50_ms,lat_p90_ms,lat_p95_ms,lat_p99_ms,thr_mean_sps,thr_median_sps,thr_std_sps,thr_min_sps,thr_max_sps,thr_p50_sps,thr_p90_sps,thr_p95_sps,thr_p99_sps,host_peak_delta_mean_mib,host_peak_delta_median_mib,host_peak_delta_p95_mib,host_peak_delta_max_mib,host_steady_mean_delta_median_mib,dev_peak_delta_mean_mib,dev_peak_delta_median_mib,dev_peak_delta_p95_mib,dev_peak_delta_max_mib,dev_steady_mean_delta_median_mib,baseline_idle_host_mib,baseline_postload_host_mib,baseline_idle_dev_mib,baseline_postload_dev_mib,host_global_peak_mib,host_true_os_peak_mib,dev_global_peak_mib,steady_host_mean_delta_mib_median,steady_dev_mean_delta_mib_median,mem_device_backend,energy_mean_j_per_sample,energy_median_j_per_sample,energy_p90_j_per_sample,energy_p95_j_per_sample,energy_p99_j_per_sample,energy_host_median_j_per_sample,energy_gpu_median_j_per_sample,energy_dram_median_j_per_sample
convnext_tiny.onnx,0.822,0.966,1000,109.18,109.06,785.994488282,795.324878,121.43688166467453,266.800709,1237.369701,795.324878,915.1381247,957.2302331999999,1058.4797651499998,1.3121836712110135,1.2573478417234454,0.2792647959736716,0.808165901582877,3.748115976708293,1.2573478417234454,1.5680424360920713,1.767753876480421,2.456910591032005,1722.96071875,1722.98046875,1722.98046875,1722.98046875,1722.98046875,,,,,,602.91796875,602.91796875,,,2325.8984375,602.91796875,,1722.98046875,,Unknown/No-device,0,0,0,0,0,0,,
deit_tiny_distilled_patch16_224.onnx,0.741,0.916,1000,22.67,22.55,206.70149368000003,217.955692,64.78980169149135,18.435339,400.443882,217.955692,271.1038334,292.45825224999993,334.09618522,6.669105009147052,4.588088485922331,7.646328734284611,2.4972288127004023,54.243645858641386,4.588088485922331,8.894144032900359,20.217028076053065,50.10902759720403,1188.8434375,1188.9609375,1188.9609375,1188.9609375,1188.9609375,,,,,,1067.3359375,1067.3359375,,,2256.296875,2889.92578125,,1188.9609375,,Unknown/No-device,0,0,0,0,0,0,,
densenet121.onnx,0.733,0.909,1000,30.81,30.67,407.694547515,418.937762,81.08700477372513,36.881849,599.446495,418.937762,491.94923109999996,515.51126875,564.3669930399999,2.6996928754932306,2.386989406917582,1.7417918078743733,1.6682056002345964,27.11360810571075,2.386989406917582,3.1985505680113024,4.07378675410232,9.334085001028853,1185.9765625,1185.9765625,1185.9765625,1185.9765625,1185.9765625,,,,,,1106.43359375,1106.43359375,,,2292.41015625,2889.92578125,,1185.9765625,,Unknown/No-device,0,0,0,0,0,0,,
efficientnet_b0.onnx,0.771,0.929,1000,20.16,20.09,87.134620102,92.6872575,37.382389176758196,9.356438,223.387403,92.6872575,123.64010700000001,145.43957169999987,186.66260112999998,17.741796062398965,10.788969627315247,19.635313127013227,4.476528159468329,106.87827996081415,10.788969627315247,38.55058492917468,60.274461135589576,105.39581380614487,1148.87109375,1148.87109375,1148.87109375,1148.87109375,1148.87109375,,,,,,1143.703125,1143.703125,,,2292.57421875,2889.92578125,,1148.87109375,,Unknown/No-device,0,0,0,0,0,0,,
inception_v3.onnx,0.769,0.931,1000,90.9,90.86,782.7399336990001,794.9316435000001,115.01197371840989,224.696027,1104.80192,794.9316435000001,904.8044157999999,932.58707215,1041.19558205,1.3160536122329862,1.2579698144112657,0.28514510389556064,0.9051396290115064,4.450456972254343,1.2579698144112657,1.534784305959143,1.7664941870600221,2.6097115858449715,2488.07753125,2488.08203125,2488.08203125,2488.08203125,2488.08203125,,,,,,1143.71875,1143.71875,,,3631.80078125,2889.92578125,,2488.08203125,,Unknown/No-device,0,0,0,0,0,0,,
levit_128s.onnx,0.741,0.923,1000,31.64,31.5,44.50278741,41.156141000000005,32.232766190452324,5.835552,213.283265,41.156141000000005,86.1515179,105.07799505,149.96762779999997,45.856153543940714,24.297735542203224,43.790933464916336,4.688600392534314,171.3633945854651,24.297735542203224,136.84666292042945,141.91592709702556,143.5063224080561,1149.03584375,1149.02734375,1149.27734375,1149.27734375,1149.02734375,,,,,,1145.015625,1145.015625,,,2294.29296875,4654.55078125,,1149.02734375,,Unknown/No-device,0,0,0,0,0,0,,
mnasnet1_0.onnx,0.729,0.906,1000,16.67,16.65,44.068575822999996,49.101959,23.375491395616656,2.563731,162.934822,49.101959,66.618072,72.67095179999998,99.61479527,59.04470064377062,20.365786586412177,89.10526124257899,6.137423466175941,390.05652309076106,20.365786586412177,214.86274913370679,282.10546859939996,381.330916736724,1220.5625,1220.5625,1220.5625,1220.5625,1220.5625,,,,,,1145.24609375,1145.24609375,,,2365.80859375,4654.55078125,,1220.5625,,Unknown/No-device,0,0,0,0,0,0,,
mobilenet_v2.onnx,0.713,0.906,1000,13.34,13.3,43.787743373000005,49.669963,23.280298764740422,2.613944,158.574929,49.669963,63.401288400000006,70.66779309999997,110.50024594999996,59.18310728582639,20.132891985478476,89.93190368478746,6.306167099087902,382.56366624533655,20.132891985478476,213.93338870696326,295.6553578842473,374.7640477454665,1148.65234375,1148.65234375,1148.65234375,1148.65234375,1148.65234375,,,,,,1217.5703125,1217.5703125,,,2366.22265625,4654.55078125,,1148.65234375,,Unknown/No-device,0,0,0,0,0,0,,
mobilenet_v3_small.onnx,0.674,0.868,1000,9.71,9.68,3.399395582,1.3839005,9.648345968278715,1.18493,93.555126,1.3839005,1.8629728,8.514142699999997,58.491170589999996,643.5234757165691,722.5953086166545,174.42050493510473,10.688885181983508,843.931709046104,722.5953086166545,739.3398293931376,743.7062011346195,827.3962442643103,1096.16015625,1096.16015625,1096.16015625,1096.16015625,1096.16015625,,,,,,1217.38671875,1217.38671875,,,2313.546875,4654.55078125,,1096.16015625,,Unknown/No-device,0,0,0,0,0,0,,
mobilevit_xxs.onnx,0.663,0.875,1000,5.04,4.85,48.821710735,47.540671,32.53238019371522,5.718975,216.020906,47.540671,90.17907910000002,110.42871029999998,153.28761565,41.2083462955045,21.034621121753666,42.845442266543984,4.629181584860125,174.85650837781245,21.034621121753666,139.2463200477558,142.22547610075432,143.71233051197143,1747.76196875,1747.82421875,1747.82421875,1747.82421875,1747.82421875,,,,,,438.2890625,438.2890625,,,2186.11328125,4654.55078125,,1747.82421875,,Unknown/No-device,0,0,0,0,0,0,,
