model_name,top1_acc,top5_acc,samples,model_file_mb,lat_mean,lat_median,lat_std,lat_min,lat_max,lat_p50,lat_p90,lat_p95,lat_p99,thr_mean,thr_median,thr_std,thr_min,thr_max,thr_p50,thr_p90,thr_p95,thr_p99,host_peak_delta_mean_mib,host_peak_delta_median_mib,host_peak_delta_p95_mib,host_peak_delta_max_mib,baseline_idle_host_mib,baseline_postload_host_mib,baseline_idle_dev_mib,baseline_postload_dev_mib,host_global_peak_mib,host_true_os_peak_mib,steady_host_mean_delta_mib_median,steady_dev_mean_delta_mib_median,mem_device_backend,energy_mean_j_per_sample,energy_median_j_per_sample,energy_p95_j_per_sample,energy_host_median_j_per_sample,energy_gpu_median_j_per_sample,energy_dram_median_j_per_sample,energy_mean_j_per_gflop,energy_median_j_per_gflop,gpu_power_mean_w_median,gpu_power_median_w_median,gpu_power_p95_w_median,lat_count,thr_count,host_peak_delta_count_mib,host_peak_delta_std_mib,host_peak_delta_min_mib,host_peak_delta_p50_mib,host_peak_delta_p90_mib,host_peak_delta_p99_mib,energy_count_j_per_sample,energy_std_j_per_sample,energy_min_j_per_sample,energy_max_j_per_sample,energy_p50_j_per_sample,energy_p90_j_per_sample,energy_p99_j_per_sample
convnext_tiny-983f1562.pth,0.822,0.966,1000,109.11867237091064,43.222479205578566,42.999180033802986,1.7722442254453996,42.39252954721451,77.53518968820572,42.999180033802986,43.385450169444084,43.49336214363575,46.844025999307625,23.162539845171942,23.256257426749535,0.6534206120616077,12.897369620443648,23.589061815390235,23.256257426749535,23.370733176875515,23.396781166960967,23.4438531895942,1654.2504375,1654.1484375,1654.3984375,1654.3984375,464.4140625,464.6640625,,,2119.46484375,2675.578125,2118.8125,,PyTorch-cpu,0,0,0,0,0,,,,0,0,0,1000,1000,1000,0.12791545005339408,1653.1484375,1654.1484375,1654.3984375,1654.3984375,1000,0,0,0,0,0,0
deit_tiny_distilled_patch16_224.pth,0.741,0.916,1000,22.60559368133545,12.892010625451803,12.870609760284424,0.1274578210459378,12.693289667367935,14.413096010684967,12.870609760284424,12.979283183813095,13.017581589519978,13.535940572619438,77.57464046442387,77.69639656787038,0.7315960152192522,69.38134591337368,78.78178361995569,77.69639656787038,78.11349514976129,78.21532360895313,78.65359435575213,1149.96003125,1149.98828125,1150.23828125,1150.23828125,910.04296875,910.04296875,,,2060.5234375,2675.578125,2060.03125,,PyTorch-cpu,0,0,0,0,0,,,,0,0,0,1000,1000,1000,0.14546682817088608,1149.73828125,1149.98828125,1150.23828125,1150.23828125,1000,0,0,0,0,0,0
densenet121-a639ec97.pth,0.733,0.909,1000,30.84464454650879,33.928575810045004,33.874666318297386,0.39646473783585373,32.98402577638626,40.54678976535797,33.874666318297386,34.277766197919846,34.419683553278446,34.64759677648544,29.47741344838468,29.520585992016063,0.32062854718228995,24.662864946570238,30.317706115665068,29.520585992016063,29.74249651962348,29.789042649564482,29.959821599274598,1151.7829375,1151.6796875,1152.1796875,1152.1796875,912.328125,912.328125,,,2064.81640625,2675.578125,2064.0078125,,PyTorch-cpu,0,0,0,0,0,,,,0,0,0,1000,1000,1000,0.17082481850895856,1151.6796875,1151.6796875,1152.1796875,1152.1796875,1000,0,0,0,0,0,0
efficientnet_b0_torchvision.pth,0.771,0.929,1000,20.460320472717285,10.7831687964499,10.757381096482277,0.1925082749660134,10.568775236606598,12.613777071237564,10.757381096482277,10.892581939697266,10.913725383579731,11.526607275009153,92.76403856999637,92.95942868699791,1.512681497453226,79.27839491314936,94.61834295958384,92.95942868699791,94.06373168630483,94.24557744023424,94.42151458718763,1149.22265625,1149.22265625,1149.22265625,1149.22265625,916.03125,916.03125,,,2065.6875,2675.578125,2065.25390625,,PyTorch-cpu,0,0,0,0,0,,,,0,0,0,1000,1000,1000,0.0,1149.22265625,1149.22265625,1149.22265625,1149.22265625,1000,0,0,0,0,0,0
inception_v3_google-0cc3c7bd.pth,0.769,0.931,1000,103.90257549285889,61.57179342955351,61.54757924377918,0.4336461670752219,58.79931151866913,66.5578842163086,61.54757924377918,61.957743018865585,62.073115073144436,62.46620133519173,16.241990689635294,16.24759271261016,0.11202632256053001,15.024516055078735,17.007001853797117,16.24759271261016,16.33196031833724,16.36107278279441,16.537421471541457,2078.58203125,2078.58203125,2078.58203125,2078.58203125,917.26171875,917.26171875,,,2996.2109375,4018.1015625,2995.84375,,PyTorch-cpu,0,0,0,0,0,,,,0,0,0,1000,1000,1000,0.0,2078.58203125,2078.58203125,2078.58203125,2078.58203125,1000,0,0,0,0,0,0
levit_128s.pth,0.741,0.923,1000,29.929027557373047,7.585047826170921,7.5523629784584045,0.18822751445617056,7.333427667617798,9.945888072252274,7.5523629784584045,7.698850333690643,7.721690274775028,8.51805042475462,131.91032294212363,132.40889015321704,2.9197689224730237,100.54406330892353,136.36188223628332,132.40889015321704,134.88126303030418,135.44929397351441,135.9669344823797,1117.76171875,1117.76171875,1117.76171875,1117.76171875,950.3125,950.3125,,,2068.05078125,4018.1015625,2068.07421875,,PyTorch-cpu,0,0,0,0,0,,,,0,0,0,1000,1000,1000,0.0,1117.76171875,1117.76171875,1117.76171875,1117.76171875,1000,0,0,0,0,0,0
mnasnet1.0_top1_73.512-f206786ef8.pth,0.729,0.906,1000,16.915318489074707,8.504290323704481,8.46841000020504,0.3265171591944643,8.32323357462883,16.68911799788475,8.46841000020504,8.548471704125404,8.597307465970516,9.713076464831829,117.69946516101764,118.08592168027698,3.0241854336748566,59.91928393859665,120.14561300408951,118.08592168027698,119.25951930954695,119.44052265271466,119.77159717695679,1148.5,1148.5,1148.5,1148.5,919.7109375,919.7109375,,,2068.40234375,4018.1015625,2068.2109375,,PyTorch-cpu,0,0,0,0,0,,,,0,0,0,1000,1000,1000,0.0,1148.5,1148.5,1148.5,1148.5,1000,0,0,0,0,0,0
mobilenet_v2-7ebf99e0.pth,0.713,0.906,1000,13.598034858703613,8.09876549243927,8.080113679170609,0.17498377587612418,7.8193508088588715,10.543815791606903,8.080113679170609,8.179347217082977,8.245771937072277,9.23240102827549,123.52623033515289,123.76063502420415,2.3542176020471084,94.84232461610537,127.88785468827642,123.76063502420415,125.13405439131881,125.85406181371957,127.25390393125959,1148.37109375,1148.37109375,1148.37109375,1148.37109375,920.1796875,920.1796875,,,2068.7734375,4018.1015625,2068.55078125,,PyTorch-cpu,0,0,0,0,0,,,,0,0,0,1000,1000,1000,0.0,1148.37109375,1148.37109375,1148.37109375,1148.37109375,1000,0,0,0,0,0,0
mobilenet_v3_small-047dcff4.pth,0.674,0.868,1000,9.829092979431152,3.1615372002124786,3.1475741416215897,0.14407983227522733,3.0810944736003876,7.217727601528168,3.1475741416215897,3.196060284972191,3.2205333933234215,3.4658945351839066,316.6511981904837,317.7049864945352,8.134568140433016,138.54776118016366,324.55999274551885,317.7049864945352,321.2803944003061,322.0688776478675,323.2009921979492,1148.5,1148.5,1148.5,1148.5,920.55078125,920.55078125,,,2069.30078125,4018.1015625,2069.05078125,,PyTorch-cpu,0,0,0,0,0,,,,0,0,0,1000,1000,1000,0.0,1148.5,1148.5,1148.5,1148.5,1000,0,0,0,0,0,0
mobilevit_xxs.pth,0.663,0.875,1000,4.980935096740723,8.045696534216404,8.03724117577076,0.1263983527645728,7.802911102771759,9.384024888277054,8.03724117577076,8.10193419456482,8.146127127110958,8.663650900125504,124.31827164020076,124.42080288546634,1.801452767631569,106.56408224676012,128.15729755587998,124.42080288546634,125.63689167546946,126.0822104262303,127.21818776198668,574.94578125,574.92578125,575.17578125,575.17578125,920.8828125,920.8828125,,,1496.3828125,4018.1015625,1495.80859375,,PyTorch-cpu,0,0,0,0,0,,,,0,0,0,1000,1000,1000,0.2233828549819791,574.67578125,574.92578125,575.17578125,575.17578125,1000,0,0,0,0,0,0
