model_name,top1_acc,top5_acc,samples,model_file_mb,param_bytes_mb,lat_mean_ms,lat_median_ms,lat_std_ms,lat_min_ms,lat_max_ms,lat_p50_ms,lat_p90_ms,lat_p95_ms,lat_p99_ms,thr_mean_sps,thr_median_sps,thr_std_sps,thr_min_sps,thr_max_sps,thr_p50_sps,thr_p90_sps,thr_p95_sps,thr_p99_sps,host_peak_delta_mean_mib,host_peak_delta_median_mib,host_peak_delta_p95_mib,host_peak_delta_max_mib,host_steady_mean_delta_median_mib,dev_peak_delta_mean_mib,dev_peak_delta_median_mib,dev_peak_delta_p95_mib,dev_peak_delta_max_mib,dev_steady_mean_delta_median_mib,baseline_idle_host_mib,baseline_postload_host_mib,baseline_idle_dev_mib,baseline_postload_dev_mib,host_global_peak_mib,host_true_os_peak_mib,dev_global_peak_mib,steady_host_mean_delta_mib_median,steady_dev_mean_delta_mib_median,mem_device_backend,energy_mean_j_per_sample,energy_median_j_per_sample,energy_p90_j_per_sample,energy_p95_j_per_sample,energy_p99_j_per_sample,energy_host_median_j_per_sample,energy_gpu_median_j_per_sample,energy_dram_median_j_per_sample,gpu_power_mean_w_median,gpu_power_median_w_median,gpu_power_p95_w_median
convnext_tiny.onnx,0.822,0.966,1000,109.18,109.06,2.374248258,2.411537,0.1454634013747821,2.176626,3.657833,2.411537,2.4926059,2.59854005,2.8340973,422.65538932124826,414.67329821266867,24.26057653828302,273.38590908879655,459.4266539129827,414.67329821266867,452.0456421443961,453.1626819282085,458.0127358719682,1769.65915625,1769.66015625,1769.66015625,1769.66015625,1769.66015625,,,,,,984.76953125,984.76953125,,,2754.4296875,984.76953125,,1769.66015625,,NVIDIA+NVML,0.848614922205712,0.8636134796943515,0.9068310003101825,0.9143630170493388,0.9312465627123788,0,0.8636134796943515,,127.203,127.203,127.40100000000001
deit_tiny_distilled_patch16_224.onnx,0.741,0.916,1000,22.67,22.55,2.085834363,2.0777780000000003,0.26304801365043734,1.801202,8.735055,2.0777780000000003,2.248812,2.3051825499999996,2.5013707999999997,483.232501393394,481.2833710303282,37.22027737624986,114.48124825773853,555.1848154732229,481.2833710303282,542.8807970008504,544.9603161004969,547.9628622934594,1561.40678125,1561.80078125,1561.80078125,1561.80078125,1561.80078125,,,,,,1598.12109375,1598.12109375,,,3159.921875,3265.83203125,,1561.80078125,,NVIDIA+NVML,0.45124011648506795,0.3611633333333334,0.7277117806160823,0.7391416541894897,0.7560179264464788,0,0.3611633333333334,,106.948,106.948,107.12117500000001
densenet121.onnx,0.733,0.908,1000,30.81,30.67,5.146121298,5.16707,0.30838151256362345,4.252124,8.970922,5.16707,5.302950999999999,5.39953445,5.6537421,194.94673573065643,193.53327902659115,10.836041575398113,111.47126237414616,235.1765846903806,193.53327902659115,198.95932563499082,224.9322307967578,230.08710101940042,1196.79296875,1196.79296875,1196.79296875,1196.79296875,1196.79296875,,,,,,2011.2421875,2011.2421875,,,3208.03515625,3728.69921875,,1196.79296875,,NVIDIA+NVML,0.7343947795778825,0.7300801504943519,0.741096764603071,0.745030801848881,1.088189689573506,0,0.7300801504943519,,107.436,107.436,107.436
efficientnet_b0.onnx,0.771,0.929,1000,20.16,20.09,1.922664197,1.911676,0.24923151627059678,1.561085,9.477133,1.911676,1.944572,1.96954345,2.179384989999999,522.4308298326104,523.1011949759484,23.07351865485195,105.51714321198193,640.5801093470246,523.1011949759484,530.5639029582211,532.1111662512079,631.4647141426933,1153.109375,1153.109375,1153.109375,1153.109375,1153.109375,,,,,,2059.9296875,2059.9296875,,,3213.0390625,3779.8125,,1153.109375,,NVIDIA+NVML,0.3643016983459926,0.3599433333333334,0.3649966666666667,0.36659,0.7334118237653934,0,0.3599433333333334,,107.983,107.983,107.983
inception_v3.onnx,0.769,0.931,1000,90.9,90.86,3.3942823209999995,3.2518745,0.5155728549092468,3.156971,18.164539,3.2518745,3.658073,3.67085345,3.9890946,296.7806646067051,307.5149425415656,19.138645136561525,55.05231924685785,316.75932404827284,307.5149425415656,311.12540909794046,311.9143810292409,314.147340956559,2520.4609375,2520.4609375,2520.4609375,2520.4609375,2520.4609375,,,,,,2064.91796875,2064.91796875,,,4585.37890625,3785.81640625,,2520.4609375,,NVIDIA+NVML,0.8631175666300394,0.8661795013044029,0.9026159970805049,0.9126443531010301,0.9254972596647218,0,0.8661795013044029,,127.596,127.596,127.857
levit_128s.onnx,0.741,0.923,1000,31.64,31.5,2.195094669,2.1691565,0.16891195411631715,2.125177,6.657597,2.1691565,2.2189139,2.2488805,2.6108111,456.81118748694576,461.0086916646236,17.93706436584062,150.20434550183796,470.5490413269107,461.0086916646236,465.2478470369049,466.1346206414925,469.0097804072132,1296.25,1296.25,1296.25,1296.25,1296.25,,,,,,2062.7578125,2062.7578125,,,3359.0078125,5608.37890625,,1296.25,,NVIDIA+NVML,0.5949937642919211,0.7000485506206751,0.7348195022314787,0.7421602326601744,0.7506507671988756,0,0.7000485506206751,,106.245,106.245,106.245
mnasnet1_0.onnx,0.728,0.906,1000,16.67,16.65,0.899575398,0.8953960000000001,0.019047383039048495,0.878586,1.056763,0.8953960000000001,0.903907,0.9122235,0.98424011,1112.0928135636532,1116.8242879404527,21.628186616908568,946.2859695125587,1138.1925047747175,1116.8242879404527,1122.8081522170362,1124.2523731445813,1127.603467124436,1148.671875,1148.671875,1148.671875,1148.671875,1148.671875,,,,,,2210.890625,2210.890625,,,3359.5625,5608.37890625,,1148.671875,,NVIDIA+NVML,0.35002968333333334,0.35323,0.35919333333333336,0.36009,0.3611633333333334,0,0.35323,,105.969,105.969,105.969
mobilenet_v2.onnx,0.713,0.906,1000,13.34,13.3,0.9017225630000001,0.897556,0.01916401909981539,0.880306,1.141012,0.897556,0.906737,0.9144249999999999,0.9820869999999999,1109.4408072037884,1114.1366109746914,21.342490396525797,876.4149719722493,1135.968629090339,1114.1366109746914,1120.370349825289,1122.165060441308,1127.823463986876,1179.7734375,1179.7734375,1179.7734375,1179.7734375,1179.7734375,,,,,,2211.4453125,2211.4453125,,,3391.21875,5608.37890625,,1179.7734375,,NVIDIA+NVML,0.35385366666666673,0.35812000000000005,0.36326766666666666,0.36513333333333337,0.36513333333333337,0,0.35812000000000005,,107.436,107.436,107.436
mobilenet_v3_small.onnx,0.677,0.868,1000,9.71,9.68,0.960856914,0.955765,0.02437934006244805,0.936686,1.149492,0.955765,0.968168,0.9820905499999999,1.0677065,1041.3427030646499,1046.2822974266687,23.89770867446801,869.9495081305481,1067.593622622736,1046.2822974266687,1055.5614843307717,1058.4587293226505,1063.7566938062757,1148.80859375,1148.80859375,1148.80859375,1148.80859375,1148.80859375,,,,,,2243.08984375,2243.08984375,,,3391.8984375,5608.37890625,,1148.80859375,,NVIDIA+NVML,0.3187106033333334,0.32097333333333333,0.32297000000000003,0.32370666666666664,0.32404333333333335,0,0.32097333333333333,,96.292,96.292,96.292
mobilevit_xxs.onnx,0.663,0.874,1000,5.04,4.85,1.661448132,1.6530345,0.05032495520131728,1.637554,2.438823,1.6530345,1.665181,1.6733815,1.827275,602.3134320365693,604.9480516184194,14.30249516703533,410.0338564955308,610.6668848783002,604.9480516184194,607.1560259250082,607.7316840348384,609.2574353734368,1782.609375,1782.609375,1782.609375,1782.609375,1782.609375,,,,,,1599.10546875,1599.10546875,,,3381.71484375,5608.37890625,,1782.609375,,NVIDIA+NVML,0.34455761859547723,0.34514,0.34874333333333335,0.3491066666666667,0.35415,0,0.34514,,103.542,103.542,103.542
resnet18.onnx,0.695,0.879,1000,44.58,44.57,0.8680470339999999,0.856217,0.21644164653688633,0.835117,7.623022,0.856217,0.8670519,0.912168,0.9373164,1161.1965972952455,1167.9282238030778,45.08694315264929,131.1815707733757,1197.4370058327156,1167.9282238030778,1176.4690660977963,1179.1938323445793,1187.3300693590047,1150.03515625,1150.03515625,1150.03515625,1150.03515625,1150.03515625,,,,,,2235.59375,2235.59375,,,3385.62890625,5608.37890625,,1150.03515625,,NVIDIA+NVML,0.40143196595978076,0.4038666666666667,0.41473333333333334,0.4164933333333333,0.4184766666666667,0,0.4038666666666667,,121.16,121.16,121.16
resnet50_v1.onnx,0.756,0.921,1000,97.43,97.4,1.714296921,1.708434,0.03052093250452392,1.689024,1.93032,1.708434,1.719241,1.7279955,1.8765710999999998,583.499579338026,585.3313619373064,9.564239413577884,518.0488209208836,592.0578985260127,585.3313619373064,587.9516939180983,588.9388856073831,590.3942617529627,1149.4609375,1149.4609375,1149.4609375,1149.4609375,1149.4609375,,,,,,2236.73828125,2236.73828125,,,3386.19921875,5608.37890625,,1149.4609375,,NVIDIA+NVML,0.47344546333333337,0.47679000000000005,0.4876633333333334,0.48824000000000006,0.49621666666666675,0,0.47679000000000005,,143.037,143.037,143.037
squeezenet1_1.onnx,0.595,0.804,1000,4.73,4.71,0.737117993,0.7267684999999999,0.2657802250605115,0.710779,9.119529,0.7267684999999999,0.7357979,0.7401505500000001,0.7767618,1371.4949940818994,1375.953966084762,46.67603749278537,109.65478589957881,1406.9070695673338,1375.953966084762,1388.4376472559888,1393.7398895424353,1401.2213755186624,1232.6015625,1232.6015625,1232.6015625,1232.6015625,1232.6015625,,,,,,2238.7890625,2238.7890625,,,3471.390625,5608.37890625,,1232.6015625,,NVIDIA+NVML,0.28939038677091433,0.2891966666666667,0.29394000000000003,0.2942466666666667,0.29624333333333336,0,0.2891966666666667,,86.759,86.759,86.759
