model_name,top1_acc,top5_acc,samples,model_file_mb,lat_mean,lat_median,lat_std,lat_min,lat_max,lat_p50,lat_p90,lat_p95,lat_p99,thr_mean,thr_median,thr_std,thr_min,thr_max,thr_p50,thr_p90,thr_p95,thr_p99,host_peak_delta_mean_mib,host_peak_delta_median_mib,host_peak_delta_p95_mib,host_peak_delta_max_mib,baseline_idle_host_mib,baseline_postload_host_mib,baseline_idle_dev_mib,baseline_postload_dev_mib,host_global_peak_mib,host_true_os_peak_mib,steady_host_mean_delta_mib_median,steady_dev_mean_delta_mib_median,mem_device_backend,energy_mean_j_per_sample,energy_median_j_per_sample,energy_p95_j_per_sample,energy_host_median_j_per_sample,energy_gpu_median_j_per_sample,energy_dram_median_j_per_sample,energy_mean_j_per_gflop,energy_median_j_per_gflop,gpu_power_mean_w_median,gpu_power_median_w_median,gpu_power_p95_w_median,lat_count,thr_count,host_peak_delta_count_mib,host_peak_delta_std_mib,host_peak_delta_min_mib,host_peak_delta_p50_mib,host_peak_delta_p90_mib,host_peak_delta_p99_mib,energy_count_j_per_sample,energy_std_j_per_sample,energy_min_j_per_sample,energy_max_j_per_sample,energy_p50_j_per_sample,energy_p90_j_per_sample,energy_p99_j_per_sample
convnext_tiny-983f1562.pth,0.822,0.966,1000,109.11867237091064,2.8747745528817177,2.8510764241218567,0.16472932342524188,2.771139144897461,6.516195833683014,2.8510764241218567,2.9107853770256042,2.9644975438714027,3.628111071884632,348.57618843556264,350.74471930076743,13.211115696615812,153.46377326950144,360.86242794459264,350.74471930076743,355.72122904911964,356.85925618932305,358.8346968259886,1593.65203125,1593.66015625,1593.66015625,1593.66015625,817.58203125,817.58203125,,,2412.8671875,2860.96875,2411.2421875,,PyTorch-cuda,1.364571070479816,1.3777285589165986,1.383030318355188,0,1.3777285589165986,,,,203.141,203.141,203.146,1000,1000,1000,0.25693505988868065,1585.53515625,1593.66015625,1593.66015625,1593.66015625,1000,0.07412705626678485,0.9682037129029631,2.0708269531745467,1.3777285589165986,1.3819908523663877,1.384539180750102
deit_tiny_distilled_patch16_224.pth,0.741,0.916,1000,22.60559368133545,2.9626288637518883,2.9611513018608093,0.1938339982177153,2.7535222470760345,6.574176251888275,2.9611513018608093,3.028087690472603,3.059006854891777,3.3700378239154793,338.43913658783646,337.7064870066373,14.440811539370923,152.11031187561696,363.1712077365273,337.7064870066373,351.2142715466687,352.90151704311825,356.91010089482955,1575.90625,1575.90625,1575.90625,1575.90625,1267.78125,1267.78125,,,2843.6875,3499.39453125,2843.6875,,PyTorch-cuda,1.1036115297167544,1.0832645102255047,1.085976869212836,0,1.0832645102255047,,,,159.712,159.712,159.712,1000,1000,1000,0.0,1575.90625,1575.90625,1575.90625,1575.90625,1000,0.22280850000129854,0.965189327403903,5.416833048127591,1.0832645102255047,1.0854088984966277,1.6249061688550561
densenet121-a639ec97.pth,0.733,0.909,1000,30.84464454650879,7.711524900048971,7.677853107452393,0.3052168316348008,7.186882197856903,11.289272457361221,7.677853107452393,7.754247635602951,7.821171544492245,9.593276083469389,129.83940844185966,130.244742380449,4.163724342468056,88.5796674477411,139.1423947783916,130.244742380449,131.25143261107212,132.20542594766584,138.04529052227662,1150.109375,1150.109375,1150.109375,1150.109375,1696.609375,1696.609375,,,2848.34375,3499.39453125,2846.71875,,PyTorch-cuda,1.5959586786497235,1.5689878291357309,1.5783426833460108,0,1.5689878291357309,,,,154.1185,154.1185,154.121,1000,1000,1000,0.0,1150.109375,1150.109375,1150.109375,1150.109375,1000,0.14769761161573325,1.4480329834856094,3.1409825333476067,1.5689878291357309,1.5742517770735547,2.0983873119232057
efficientnet_b0_torchvision.pth,0.771,0.929,1000,20.460320472717285,4.16138406842947,4.137398675084114,0.17036422531728984,3.998406231403351,5.647432059049606,4.137398675084114,4.211602732539177,4.2685749009251595,5.2707090973854065,240.63305234173964,241.69776197603716,8.059670037412545,177.07162999819917,250.09965024214722,241.69776197603716,245.57360898107657,246.24014500550015,247.94666627991333,1150.47265625,1150.47265625,1150.47265625,1150.47265625,1700.91015625,1700.91015625,,,2851.3828125,3676.91015625,2851.3828125,,PyTorch-cuda,1.0262015428880247,1.0275041084438563,1.0305877126023175,0,1.0275041084438563,,,,151.446,151.446,151.449,1000,1000,1000,0.0,1150.47265625,1150.47265625,1150.47265625,1150.47265625,1000,0.0186369825160044,0.9655439527630807,1.5407273493278772,1.0275041084438563,1.0298665170371533,1.032381359996572
inception_v3_google-0cc3c7bd.pth,0.769,0.931,1000,103.90257549285889,5.9009924083948135,5.846520885825157,0.34475240252092326,5.720511078834534,12.734554708003998,5.846520885825157,5.9148915112018585,5.995140224695206,7.353354319930077,169.84726123498197,171.04189303882066,6.803825256621338,78.52649919289868,174.80955568811427,171.04189303882066,172.73040795466568,173.13519024576402,174.14995604892923,2757.625,2757.625,2757.625,2757.625,1703.21875,1703.21875,,,4460.84375,5481.34375,4460.84375,,PyTorch-cuda,1.1724564263945878,1.1365148021914067,1.677921085308585,0,1.1365148021914067,,,,167.428,167.428,167.428,1000,1000,1000,0.0,2757.625,2757.625,2757.625,2757.625,1000,0.20646570197190953,0.9563467027246951,5.70141366372092,1.1365148021914067,1.1415707728542386,1.7075657278255933
levit_128s.pth,0.742,0.923,1000,29.929027557373047,5.158060923218727,5.136007443070412,0.15934458280062397,4.991888999938965,6.997857242822647,5.136007443070412,5.221448838710785,5.299131013453007,6.061057597398757,194.02674457873562,194.70376771927516,5.059441076653889,142.9008859855851,200.3249671641791,194.70376771927516,197.4837362543709,197.94668943055044,198.70252727283466,1145.03515625,1145.03515625,1145.03515625,1145.03515625,2415.46875,2415.46875,,,3560.50390625,5481.34375,3560.50390625,,PyTorch-cuda,1.0383215650721427,1.015309750493616,1.0199983146499843,0,1.015309750493616,,,,149.657,149.657,149.657,1000,1000,1000,0.0,1145.03515625,1145.03515625,1145.03515625,1145.03515625,1000,0.18543029116768547,0.9944465970173478,4.5670554611152046,1.015309750493616,1.0184775053739548,1.523140875291377
mnasnet1.0_top1_73.512-f206786ef8.pth,0.729,0.907,1000,16.915318489074707,2.7247743010520935,2.646416425704956,0.2559723737746481,2.453599125146866,5.240004509687424,2.646416425704956,3.1219135969877243,3.1735775992274284,3.8740183785557747,369.51123533892087,377.86948060276853,27.203220303657574,190.83953041476522,407.56454049523785,377.86948060276853,386.5413508849524,397.4893033075458,404.1645554943273,1140.19140625,1140.19140625,1140.19140625,1140.19140625,2412.0625,2412.0625,,,3552.25390625,5481.34375,3552.25390625,,PyTorch-cuda,1.0282350578158908,1.0147604824639855,1.0170069327220321,0,1.0147604824639855,,,,149.631,149.631,149.631,1000,1000,1000,0.0,1140.19140625,1140.19140625,1140.19140625,1140.19140625,1000,0.1516667246356393,0.49718333333333337,4.061067960751909,1.0147604824639855,1.016131793510914,1.5397446851975283
mobilenet_v2-7ebf99e0.pth,0.713,0.905,1000,13.598034858703613,2.77237132191658,2.7407724410295486,0.14440993093944957,2.671908587217331,3.9249807596206665,2.7407724410295486,2.7921825647354126,2.9067611321806908,3.531050644814968,361.4800790123751,364.8606447694797,15.018225894965143,254.77831898891804,374.264301100755,364.8606447694797,368.81640007154095,369.7949094835113,371.44198249330225,1149.58984375,1149.58984375,1149.58984375,1149.58984375,2404.484375,2404.484375,,,3554.07421875,5481.34375,3554.07421875,,PyTorch-cuda,1.0134301511296797,1.0149509030245245,1.016051123580709,0,1.0149509030245245,,,,149.66,149.66,149.66,1000,1000,1000,0.0,1149.58984375,1149.58984375,1149.58984375,1149.58984375,1000,0.01792303177026708,0.9643536458685993,1.5223396251071246,1.0149509030245245,1.015715664370358,1.0170969252353161
mobilenet_v3_small-047dcff4.pth,0.673,0.868,1000,9.829092979431152,2.7587169371545315,2.7488116174936295,0.06138960126886224,2.6614293456077576,3.6554932594299316,2.7488116174936295,2.814377099275589,2.8478963300585747,2.940613441169262,362.6497924480945,363.79357306131465,7.3484300357358805,273.5608928891715,375.737947599598,363.79357306131465,369.62977599737746,370.98362009627357,373.3170530188064,1140.03384375,1139.82421875,1141.44921875,1141.44921875,2406.10546875,2406.10546875,,,3547.5546875,5481.34375,3545.9296875,,PyTorch-cuda,1.0020206224463561,0.9870738566368817,0.9886681930821388,0,0.9870738566368817,,,,145.53775000000002,145.53775000000002,145.539,1000,1000,1000,0.5449724574273037,1139.82421875,1139.82421875,1141.44921875,1141.44921875,1000,0.17865444130846908,0.9655692166015505,4.442359293149784,0.9870738566368817,0.9879296093791723,1.478574208849892
mobilevit_xxs.pth,0.663,0.875,1000,4.980935096740723,5.05161214992404,5.038820207118988,0.07670066467620994,4.857782274484634,6.219059228897095,5.038820207118988,5.115927010774612,5.1543159410357475,5.279318206012249,197.99875514815153,198.45915500466668,2.7883078152057927,160.79602447802105,205.85525317848683,198.45915500466668,200.4433933122226,200.92092261667705,201.99620241863784,576.875,576.875,576.875,576.875,2399.4921875,2399.4921875,,,2977.9921875,5481.34375,2976.3671875,,PyTorch-cuda,1.0259969004547538,1.0119584782961757,1.0165097780097276,0,1.0119584782961757,,,,149.19,149.19,149.191,1000,1000,1000,0.0,576.875,576.875,576.875,576.875,1000,0.14500927578414968,0.9646605108454822,4.046091112383775,1.0119584782961757,1.015659072558582,1.5190354295244253
