model_name,top1_acc,top5_acc,samples,model_file_mb,param_bytes_mb,lat_mean_ms,lat_median_ms,lat_std_ms,lat_min_ms,lat_max_ms,lat_p50_ms,lat_p90_ms,lat_p95_ms,lat_p99_ms,thr_mean_sps,thr_median_sps,thr_std_sps,thr_min_sps,thr_max_sps,thr_p50_sps,thr_p90_sps,thr_p95_sps,thr_p99_sps,host_peak_delta_mean_mib,host_peak_delta_median_mib,host_peak_delta_p95_mib,host_peak_delta_max_mib,host_steady_mean_delta_median_mib,dev_peak_delta_mean_mib,dev_peak_delta_median_mib,dev_peak_delta_p95_mib,dev_peak_delta_max_mib,dev_steady_mean_delta_median_mib,baseline_idle_host_mib,baseline_postload_host_mib,baseline_idle_dev_mib,baseline_postload_dev_mib,host_global_peak_mib,host_true_os_peak_mib,dev_global_peak_mib,steady_host_mean_delta_mib_median,steady_dev_mean_delta_mib_median,mem_device_backend,energy_mean_j_per_sample,energy_median_j_per_sample,energy_p90_j_per_sample,energy_p95_j_per_sample,energy_p99_j_per_sample,energy_host_median_j_per_sample,energy_gpu_median_j_per_sample,energy_dram_median_j_per_sample,gpu_power_mean_w_median,gpu_power_median_w_median,gpu_power_p95_w_median
convnext_tiny.onnx,0.822,0.966,1000,109.18,109.06,1.753357934,1.7474365,0.04369814290467,1.729578,2.804888,1.7474365,1.7621689999999999,1.7749855,1.8541097199999999,570.594994889179,572.2668606562643,10.653774179951359,356.5204742577956,578.1757168511625,572.2668606562643,575.3983929242532,576.0290521480858,577.3314256692512,1847.97921875,1847.98046875,1847.98046875,1847.98046875,1847.98046875,,,,,,999.0859375,999.0859375,,,2847.06640625,999.0859375,,1847.98046875,,NVIDIA+NVML,0.564337696017128,0.5681966666666667,0.5723533333333334,0.5728666666666667,0.7815846317236119,0,0.5681966666666667,,170.45,170.45,170.45
deit_tiny_distilled_patch16_224.onnx,0.741,0.916,1000,22.67,22.55,1.628872367,1.619129,0.14790108488127252,1.410021,5.805607,1.619129,1.6552175,1.77129655,1.81787387,616.0692318352408,617.6160145446918,28.677357657956925,172.24727750259362,709.2092954643938,617.6160145446918,624.7432695632127,628.0643888536466,705.8901493237054,1547.703125,1547.703125,1547.703125,1547.703125,1547.703125,,,,,,1693.4921875,1693.4921875,,,3241.1953125,3359.37890625,,1547.703125,,NVIDIA+NVML,0.4423041600687741,0.4446133333333333,0.44566000000000006,0.4458166666666667,0.4460733333333334,0,0.4446133333333333,,133.384,133.384,133.384
densenet121.onnx,0.733,0.908,1000,30.81,30.67,3.923077956,3.815521,0.5729316802140557,3.673018,8.736845,3.815521,3.9929972,4.0277712,8.59522232,257.5811921300208,262.0874056343147,18.778961059748568,114.45779340253833,272.255676394725,262.0874056343147,267.2592838961061,268.9596959792399,270.7818565370825,1152.42578125,1152.42578125,1152.42578125,1152.42578125,1152.42578125,,,,,,2093.51171875,2093.51171875,,,3245.9375,3804.97265625,,1152.42578125,,NVIDIA+NVML,0.9135576101298789,0.9110618133805692,0.9171121216882021,0.9193270417184569,1.1970473787976987,0,0.9110618133805692,,134.075,134.075,134.0785
efficientnet_b0.onnx,0.771,0.929,1000,20.16,20.09,1.454352777,1.436148,0.14407751031025098,1.403806,5.633553,1.436148,1.4694163,1.5478834999999997,1.6614476999999999,689.9358022837117,696.307065886431,27.681810923621022,177.50787114277614,712.3491422603978,696.307065886431,703.0903563440748,704.6333206031956,707.3132470676015,1156.23828125,1156.23828125,1156.23828125,1156.23828125,1156.23828125,,,,,,2097.1015625,2097.1015625,,,3253.33984375,3815.96484375,,1156.23828125,,NVIDIA+NVML,0.44412761027826675,0.44625000000000004,0.4476133333333333,0.4478166666666667,0.44821,0,0.44625000000000004,,133.875,133.875,133.875
inception_v3.onnx,0.769,0.931,1000,90.9,90.86,2.870063076,2.6109335,0.45507430484864525,2.5015,3.849172,2.6109335,3.6020000000000003,3.6214886500000003,3.7715723799999994,356.17325824862644,383.00477603290994,48.96205877679789,259.79613277868594,399.76014391365175,383.00477603290994,395.79808098759565,397.1685615175138,398.60399316331643,2522.58203125,2522.58203125,2522.58203125,2522.58203125,2522.58203125,,,,,,2104.2578125,2104.2578125,,,4626.83984375,3825.8671875,,2522.58203125,,NVIDIA+NVML,1.0283398229112104,1.0448399587329478,1.0518371851190926,1.053242622790672,1.0584188573455064,0,1.0448399587329478,,153.709,153.709,153.709
levit_128s.onnx,0.741,0.923,1000,31.64,31.5,1.7974982359999998,1.780338,0.14076146166314785,1.751629,6.052934,1.780338,1.8548178,1.8629353000000002,1.87467673,557.5180011306869,561.6910946763448,16.924282222259016,165.2091365939229,570.8971477407601,561.6910946763448,566.1087344307142,566.8398570274279,569.1504411195946,1148.81640625,1148.81640625,1148.81640625,1148.81640625,1148.81640625,,,,,,2584.1015625,2584.1015625,,,3732.91796875,5643.9765625,,1148.81640625,,NVIDIA+NVML,0.4728363933543077,0.44928,0.4505033333333334,0.8673651992660004,0.9193587399389596,0,0.44928,,134.763,134.763,134.763
mnasnet1_0.onnx,0.728,0.907,1000,16.67,16.65,1.5270563129999999,1.118462,0.5842908263217153,0.933495,6.238381,1.118462,2.2526762,2.26323235,2.27697595,748.9132337684315,894.0850520319591,252.87102418264314,160.29800039465366,1071.243016834584,894.0850520319591,1030.712979667682,1038.1867961053294,1056.969210039166,1148.64453125,1148.64453125,1148.64453125,1148.64453125,1148.64453125,,,,,,2584.02734375,2584.02734375,,,3732.671875,5643.9765625,,1148.64453125,,NVIDIA+NVML,0.483060622857058,0.43030333333333337,0.8440673450607807,0.8536947368238121,0.8809846632223205,0,0.43030333333333337,,126.879,126.879,126.879
mobilenet_v2.onnx,0.713,0.906,1000,13.34,13.3,0.9793991679999999,0.9826735,0.022550353802332824,0.840317,1.098878,0.9826735,1.0002375000000001,1.0060569,1.02694148,1021.6027411554546,1017.6320009580604,24.785486853646674,910.0191286020832,1190.027096916997,1017.6320009580604,1043.0092151651627,1054.1076170470321,1127.670134668882,1182.50390625,1182.50390625,1182.50390625,1182.50390625,1182.50390625,,,,,,2583.8125,2583.8125,,,3766.31640625,5643.9765625,,1182.50390625,,NVIDIA+NVML,0.4315867966666667,0.43516666666666676,0.4374900000000001,0.4378533333333333,0.4382833333333334,0,0.43516666666666676,,130.55,130.55,130.55
mobilenet_v3_small.onnx,0.676,0.868,1000,9.71,9.68,1.072640188,1.0577685,0.23993341751381056,0.970596,7.066823,1.0577685,1.0784202999999999,1.0891957499999998,1.2108727799999996,940.9890389055963,945.3864432531537,44.90371541339159,141.50630346904117,1030.2947879447267,945.3864432531537,961.6633062903915,965.9317804809571,985.1986304232684,1148.6640625,1148.6640625,1148.6640625,1148.6640625,1148.6640625,,,,,,2618.6796875,2618.6796875,,,3767.34375,5643.9765625,,1148.6640625,,NVIDIA+NVML,0.402910355708573,0.40307000000000004,0.40362000000000003,0.4036766666666667,0.40383,0,0.40307000000000004,,120.921,120.921,120.921
mobilevit_xxs.onnx,0.662,0.875,1000,5.04,4.85,1.830205537,1.8085135,0.1635324642095357,1.772792,6.258688,1.8085135,1.8427198,1.91854145,2.2463518099999993,548.2351994083954,552.9403022271978,23.392356739546145,159.77789594240838,564.0819678789164,552.9403022271978,558.7769982455719,560.1428924570821,561.9379912464397,1806.01171875,1806.01171875,1806.01171875,1806.01171875,1806.01171875,,,,,,1700.95703125,1700.95703125,,,3506.96875,5643.9765625,,1806.01171875,,NVIDIA+NVML,0.4367132069217323,0.42129666666666665,0.4234766666666667,0.4237766666666667,0.8604706148978323,0,0.42129666666666665,,126.371,126.371,126.371
