model_name,top1_acc,top5_acc,samples,model_file_mb,param_bytes_mb,lat_mean_ms,lat_median_ms,lat_std_ms,lat_min_ms,lat_max_ms,lat_p50_ms,lat_p90_ms,lat_p95_ms,lat_p99_ms,thr_mean_sps,thr_median_sps,thr_std_sps,thr_min_sps,thr_max_sps,thr_p50_sps,thr_p90_sps,thr_p95_sps,thr_p99_sps,host_peak_delta_mean_mib,host_peak_delta_median_mib,host_peak_delta_p95_mib,host_peak_delta_max_mib,host_steady_mean_delta_median_mib,dev_peak_delta_mean_mib,dev_peak_delta_median_mib,dev_peak_delta_p95_mib,dev_peak_delta_max_mib,dev_steady_mean_delta_median_mib,baseline_idle_host_mib,baseline_postload_host_mib,baseline_idle_dev_mib,baseline_postload_dev_mib,host_global_peak_mib,host_true_os_peak_mib,dev_global_peak_mib,steady_host_mean_delta_mib_median,steady_dev_mean_delta_mib_median,mem_device_backend,energy_mean_j_per_sample,energy_median_j_per_sample,energy_p90_j_per_sample,energy_p95_j_per_sample,energy_p99_j_per_sample,energy_host_median_j_per_sample,energy_gpu_median_j_per_sample,energy_dram_median_j_per_sample,gpu_power_mean_w_median,gpu_power_median_w_median,gpu_power_p95_w_median
convnext_tiny.onnx,0.822,0.966,1000,109.18,109.06,2.887659668,2.8739195000000004,0.34094960162005566,2.642078,13.462747,2.8739195000000004,2.9221051,2.93930665,3.0669314999999995,347.469948966671,347.95685822182963,11.456781340905513,74.27904572521491,378.48996131075614,347.95685822182963,351.55563367942074,353.25503334189005,374.71615997995605,1797.946375,1797.484375,1798.484375,1798.484375,1797.484375,,,,,,959.5,959.5,,,2757.984375,959.5,,1797.484375,,NVIDIA+NVML,0.8258538382427946,0.8317468328785035,0.8739941208181553,0.8780447110231151,0.881166389635701,0,0.8317468328785035,,122.315,122.315,122.39075
deit_tiny_distilled_patch16_224.onnx,0.741,0.916,1000,22.67,22.55,1.8522062369999999,1.8389675,0.10946610793511978,1.690846,3.604466,1.8389675,1.908425,1.92258505,2.24321465,541.2656870183595,543.7834002636089,23.941874607929677,277.43360597658574,591.4199164205374,543.7834002636089,558.2674949883237,573.370702933763,585.9097629951488,1502.33984375,1502.33984375,1502.33984375,1502.33984375,1502.33984375,,,,,,1602.87109375,1602.87109375,,,3105.2109375,3267.59765625,,1502.33984375,,NVIDIA+NVML,0.3312675418988532,0.32830333333333334,0.3332666666666667,0.33377333333333337,0.6702490028706088,0,0.32830333333333334,,98.491,98.491,98.491
densenet121.onnx,0.733,0.908,1000,30.81,30.67,4.470038784000001,4.465628000000001,0.13506762317087084,4.074168,5.840167,4.465628000000001,4.5297599,4.5496208,5.277495289999999,223.8946953345352,223.93266989178872,6.098166542620775,171.22798029576893,245.44888674202926,223.93266989178872,227.98222385652508,230.25267046832377,240.58802360012325,1207.76875,1207.96875,1207.96875,1207.96875,1207.96875,,,,,,1957.2890625,1957.2890625,,,3165.2578125,3675.43359375,,1207.96875,,NVIDIA+NVML,0.6861168362213802,0.690044390015013,0.6940835803769295,0.6949093255189364,0.6971104097134061,0,0.690044390015013,,101.47,101.47,101.47
efficientnet_b0.onnx,0.771,0.929,1000,20.16,20.09,1.6084836390000001,1.554488,0.3200744381719724,1.431779,8.213112,1.554488,1.832874,1.89230955,2.3682241199999994,630.733254384686,643.2986295764988,56.12770535685519,121.75652785448439,698.4318110546391,643.2986295764988,684.8044428048338,689.2138640263955,694.3452170411147,1195.30859375,1195.30859375,1195.30859375,1195.30859375,1195.30859375,,,,,,2017.89453125,2017.89453125,,,3213.203125,3737.48046875,,1195.30859375,,NVIDIA+NVML,0.3271030300813577,0.32538,0.3274633333333334,0.3280438333333333,0.663012275933891,0,0.32538,,97.564,97.564,97.564
inception_v3.onnx,0.769,0.931,1000,90.9,90.86,2.55619042,2.54284,0.14389844579060107,2.337423,4.896927,2.54284,2.613172,2.632726,2.7768225799999997,391.98332392862136,393.2610783166207,14.324217250815241,204.2097013085962,427.82157957716686,393.2610783166207,401.3279139320867,404.8299533851659,421.24878009379125,2516.765625,2516.765625,2516.765625,2516.765625,2516.765625,,,,,,2064.83984375,2064.83984375,,,4581.60546875,3753.34765625,,2516.765625,,NVIDIA+NVML,0.7786101337385558,0.7878282666729064,0.8107961294496898,0.8198181186432485,0.8256485678224266,0,0.7878282666729064,,115.899,115.899,115.899
levit_128s.onnx,0.741,0.924,1000,31.64,31.5,1.833881973,1.8269250000000001,0.18810846343184814,1.687732,7.238205,1.8269250000000001,1.8631441,1.8784461499999998,2.14542279,547.2883230447969,547.3678457984399,22.88550896748493,138.15579967685358,592.5111332841944,547.3678457984399,564.6795536724653,569.4193349176755,584.1932058491972,1445.95703125,1445.95703125,1445.95703125,1445.95703125,1445.95703125,,,,,,2055.453125,2055.453125,,,3501.41015625,5601.83203125,,1445.95703125,,NVIDIA+NVML,0.31797694128308723,0.3190466666666667,0.32029,0.3210766666666667,0.32146,0,0.3190466666666667,,95.714,95.714,95.714
mnasnet1_0.onnx,0.728,0.907,1000,16.67,16.65,1.042148288,1.058216,0.0823955515140615,0.856069,1.845808,1.058216,1.079413,1.0935601,1.28886906,965.1727385719732,944.9866568095028,73.38438774210267,541.7681579015803,1168.1301390425306,944.9866568095028,1103.4811520022765,1134.746861871722,1153.529598742347,1184.28515625,1184.28515625,1184.28515625,1184.28515625,1184.28515625,,,,,,2135.45703125,2135.45703125,,,3319.7421875,5601.83203125,,1184.28515625,,NVIDIA+NVML,0.3022633033333333,0.30693333333333334,0.30896666666666667,0.30944333333333335,0.3099733333333334,0,0.30693333333333334,,92.08,92.08,92.08
mobilenet_v2.onnx,0.713,0.906,1000,13.34,13.3,1.0555472689999998,1.0549564999999999,0.06070588939067899,0.864732,2.037425,1.0549564999999999,1.069863,1.07973455,1.2963504,949.7642578076614,947.906382870028,43.48241006273734,490.81561284464465,1156.4276561986837,947.906382870028,974.6903505140815,986.9622292477825,1113.8448988197188,1161.671875,1161.671875,1161.671875,1161.671875,1161.671875,,,,,,2171.4296875,2171.4296875,,,3333.1015625,5601.83203125,,1161.671875,,NVIDIA+NVML,0.30390145308935407,0.3079466666666667,0.3094,0.30982000000000004,0.31024,0,0.3079466666666667,,92.384,92.384,92.384
mobilenet_v3_small.onnx,0.673,0.868,1000,9.71,9.68,1.222024485,1.2178095,0.07146379398763321,0.999063,2.126918,1.2178095,1.243565,1.26458595,1.48482292,820.532381553774,821.146493155453,39.488099053092064,470.16387091556896,1000.9378787924284,821.146493155453,831.2780005503178,848.2048571053888,961.0458750431384,1148.90234375,1148.90234375,1148.90234375,1148.90234375,1148.90234375,,,,,,2184.7734375,2184.7734375,,,3333.67578125,5601.83203125,,1148.90234375,,NVIDIA+NVML,0.2836070809371315,0.28565666666666667,0.28626333333333337,0.28635000000000005,0.28657000000000005,0,0.28565666666666667,,85.697,85.697,85.697
mobilevit_xxs.onnx,0.663,0.874,1000,5.04,4.85,1.9504541240000002,1.9357725000000001,0.09507069367576222,1.843003,3.428553,1.9357725000000001,1.9703381,2.023476,2.33128338,513.6136503943814,516.589630295993,19.077418455172914,291.66823438342647,542.5927141735526,516.589630295993,521.3816261454286,533.3964223403253,540.0838078191673,1832.905375,1832.984375,1832.984375,1832.984375,1832.984375,,,,,,1623.8828125,1623.8828125,,,3456.8671875,5601.83203125,,1832.984375,,NVIDIA+NVML,0.3164647738881437,0.3064766666666667,0.30821,0.3093366666666667,0.6268411034652498,0,0.3064766666666667,,91.913,91.913,91.913
