model_name,top1_acc,top5_acc,samples,model_file_mb,lat_mean,lat_median,lat_std,lat_min,lat_max,lat_p50,lat_p90,lat_p95,lat_p99,thr_mean,thr_median,thr_std,thr_min,thr_max,thr_p50,thr_p90,thr_p95,thr_p99,host_peak_delta_mean_mib,host_peak_delta_median_mib,host_peak_delta_p95_mib,host_peak_delta_max_mib,baseline_idle_host_mib,baseline_postload_host_mib,baseline_idle_dev_mib,baseline_postload_dev_mib,host_global_peak_mib,host_true_os_peak_mib,steady_host_mean_delta_mib_median,steady_dev_mean_delta_mib_median,mem_device_backend,energy_mean_j_per_sample,energy_median_j_per_sample,energy_p95_j_per_sample,energy_host_median_j_per_sample,energy_gpu_median_j_per_sample,energy_dram_median_j_per_sample,energy_mean_j_per_gflop,energy_median_j_per_gflop,gpu_power_mean_w_median,gpu_power_median_w_median,gpu_power_p95_w_median,lat_count,thr_count,host_peak_delta_count_mib,host_peak_delta_std_mib,host_peak_delta_min_mib,host_peak_delta_p50_mib,host_peak_delta_p90_mib,host_peak_delta_p99_mib,energy_count_j_per_sample,energy_std_j_per_sample,energy_min_j_per_sample,energy_max_j_per_sample,energy_p50_j_per_sample,energy_p90_j_per_sample,energy_p99_j_per_sample
convnext_tiny-983f1562.pth,0.822,0.966,1000,109.11867237091064,3.7987395564559847,3.721665998455137,0.5846978409730845,3.5108859883621335,16.853373032063246,3.721665998455137,3.9372486295178533,4.113983627757989,4.83914123964496,265.25870547786167,268.6968698289006,15.434384122526696,59.33530327119192,284.8283889920649,268.6968698289006,275.2918230239431,277.1538005032289,280.5099350054485,1882.45771875,1881.51171875,1884.51171875,1884.51171875,809.49609375,809.49609375,,,2694.0078125,3150.9296875,2691.0078125,,PyTorch-cuda,0.8183527611238371,0.819393277139985,0.8333419812636567,0,0.819393277139985,,,,120.362,120.362,120.362,1000,1000,1000,1.1490885102568926,1874.51171875,1881.51171875,1883.61171875,1884.51171875,1000,0.10422140257387143,0.5198656928108539,3.213166123741743,0.819393277139985,0.8294724230609601,1.2082125156858499
deit_tiny_distilled_patch16_224.pth,0.741,0.916,1000,22.60559368133545,3.560830254747998,3.511947492370382,0.2699040263408103,3.285429032985121,6.444419035688043,3.511947492370382,3.650288312928751,3.8554825034225355,4.891179547994396,281.98918857640217,284.74229818291934,15.534310952207758,155.17302559969772,304.3742506565135,284.74229818291934,292.11827602997965,294.3224210514141,299.9554892456624,1354.24446875,1354.98046875,1355.98046875,1355.98046875,1546.546875,1546.546875,,,2903.52734375,3464.8125,2901.52734375,,PyTorch-cuda,0.6507919409810002,0.6495007979077054,0.6555294119301369,0,0.6495007979077054,,,,95.421,95.421,95.422,1000,1000,1000,1.5194119298638578,1349.98046875,1354.98046875,1354.98046875,1355.98046875,1000,0.05189583611299817,0.5216506148986518,1.6327730526871744,0.6495007979077054,0.6534263435111847,0.9705004484288842
densenet121-a639ec97.pth,0.733,0.909,1000,30.84464454650879,10.77984660025686,10.617869993438944,0.8803230278314413,9.805581998080015,25.70023195585236,10.617869993438944,11.110554391052574,11.746002270956518,14.39128236612305,93.16756608087448,94.18084824605128,5.148156217787972,38.91015465221448,101.9827278172581,94.18084824605128,96.493066843023,97.27562270775122,100.30877005681535,1154.07934375,1154.52734375,1154.52734375,1154.52734375,1755.140625,1755.140625,,,2910.66796875,3476.48828125,2909.66796875,,PyTorch-cuda,1.286009879658774,1.25781621732912,1.561695065040949,0,1.25781621732912,,,,92.3255,92.32400000000001,92.329,1000,1000,1000,0.49753747953651045,1153.52734375,1154.52734375,1154.52734375,1154.52734375,1000,0.18930957918943422,1.0457429927180055,5.005958227536175,1.25781621732912,1.2669526268019264,1.894637236950814
efficientnet_b0_torchvision.pth,0.771,0.929,1000,20.460320472717285,5.444293784967158,5.371256003854796,0.4807608606557398,4.721754987258464,13.702525000553578,5.371256003854796,5.554935312829912,6.009140150854364,6.780478456639683,184.5417098519084,186.17619424683045,10.285881923910258,72.97925017174573,211.78566077623142,186.17619424683045,191.05247776201156,192.24588425231138,196.7888243710369,1318.19921875,1318.19921875,1318.19921875,1318.19921875,1762.859375,1762.859375,,,3081.05859375,3700.9140625,3081.05859375,,PyTorch-cuda,0.6501641384435825,0.616473789755546,0.9258969546581298,0,0.616473789755546,,,,90.492,90.492,90.492,1000,1000,1000,0.0,1318.19921875,1318.19921875,1318.19921875,1318.19921875,1000,0.11453937723938741,0.5167422043061816,1.534350259572966,0.616473789755546,0.9143283706305517,1.050247146978973
inception_v3_google-0cc3c7bd.pth,0.769,0.931,1000,103.90257549285889,7.598348893341608,7.5114490173291415,0.6252392901345151,6.565982010215521,19.705304002854973,7.5114490173291415,7.645355112617835,7.9648288199678055,9.641502480953928,132.11635443707092,133.13010548257085,6.503549149798732,50.74775805819167,152.30014313840255,133.13010548257085,135.08011672487945,135.99539128210347,138.0372380323379,2544.88678125,2544.80078125,2545.80078125,2545.80078125,1932.6328125,1932.6328125,,,4478.43359375,5496.6328125,4477.43359375,,PyTorch-cuda,1.0581684073598747,1.0401177199075902,1.3589541757449044,0,1.0401177199075902,,,,101.747,101.75200000000001,101.75200000000001,1000,1000,1000,0.36978472215701486,2543.80078125,2544.80078125,2545.80078125,2545.80078125,1000,0.09954341402857972,0.7710649536315759,2.4084785800676616,1.0401177199075902,1.0532199249639815,1.412348968324844
levit_128s.pth,0.741,0.924,1000,29.929027557373047,6.701023850822821,6.643797474680468,0.3563963763650268,6.172363006044179,11.695816006977111,6.643797474680468,6.821051036240533,6.986561170197092,8.218001091736369,149.53708678160044,150.51632814411207,5.885966479555826,85.50066104010634,162.0125062347706,150.51632814411207,153.2086632454523,154.1946953916248,157.2472328153462,1148.4296875,1148.4296875,1148.4296875,1148.4296875,2433.390625,2433.390625,,,3581.8203125,5496.6328125,3581.8203125,,PyTorch-cuda,0.9151821900305533,0.898377811168888,0.9054713010186678,0,0.898377811168888,,,,88.01,88.01,88.012,1000,1000,1000,0.0,1148.4296875,1148.4296875,1148.4296875,1148.4296875,1000,0.3137357493104619,0.7757911119968339,10.085570039588127,0.898377811168888,0.9031089657042582,1.2008584717764288
mnasnet1.0_top1_73.512-f206786ef8.pth,0.729,0.907,1000,16.915318489074707,3.253663986455649,3.2359155011363328,0.12731828698837483,2.9917900101281703,4.939691047184169,3.2359155011363328,3.3277933252975345,3.389628222794272,3.836615324835293,307.7359203274882,309.0315554493691,10.10169487262004,202.4418107221588,334.2480577228612,309.0315554493691,315.74726496757654,318.2816920915145,323.66139622689775,1152.4453125,1152.4453125,1152.4453125,1152.4453125,2433.5,2433.5,,,3585.9453125,5496.6328125,3585.9453125,,PyTorch-cuda,0.6020158458402234,0.6035603007480967,0.6070337420854601,0,0.6035603007480967,,,,88.757,88.757,88.759,1000,1000,1000,0.0,1152.4453125,1152.4453125,1152.4453125,1152.4453125,1000,0.030542605253943537,0.518386699454044,0.914385042844573,0.6035603007480967,0.6058958691481151,0.6114735613780126
mobilenet_v2-7ebf99e0.pth,0.713,0.905,1000,13.598034858703613,3.6673675436759368,3.4063994826283306,0.7159769544151181,2.939803001936525,12.62474397663027,3.4063994826283306,4.364386264933273,4.878545142128131,6.474957989412359,279.1093148558531,293.56509876312487,35.03125023882989,79.20952708831999,340.1588471544773,293.56509876312487,304.14059798239344,306.58925369757253,311.9831167187639,1148.977125,1149.078125,1149.078125,1149.078125,2438.11328125,2438.11328125,,,3588.19140625,5496.6328125,3587.19140625,,PyTorch-cuda,0.6241146450740257,0.6014780003987252,0.632051824387995,0,0.6014780003987252,,,,88.399,88.399,88.399,1000,1000,1000,0.3014795016081357,1148.078125,1149.078125,1149.078125,1149.078125,1000,0.273615870684328,0.5182183034403716,8.762071031929388,0.6014780003987252,0.6060208329195272,0.9364008515417401
mobilenet_v3_small-047dcff4.pth,0.672,0.868,1000,9.829092979431152,3.6241078203893267,3.534145507728681,0.30096768982050276,3.2793800346553326,8.183969010133296,3.534145507728681,3.8786064309533685,4.070648536435328,4.816866754554212,277.2993178833279,282.95382806303905,17.14428425634887,122.19010100866848,304.9356858407237,282.95382806303905,290.979008390498,292.77206918091343,295.8715900560037,1146.38671875,1146.38671875,1146.38671875,1146.38671875,2440.2109375,2440.2109375,,,3586.59765625,5496.6328125,3586.59765625,,PyTorch-cuda,0.5855360702044708,0.5832870262926444,0.5876245184348313,0,0.5832870262926444,,,,85.709,85.709,85.709,1000,1000,1000,0.0,1146.38671875,1146.38671875,1146.38671875,1146.38671875,1000,0.039113991671642784,0.5181184318132,1.1641451241843166,0.5832870262926444,0.5863397053698544,0.8716528786065127
mobilevit_xxs.pth,0.663,0.875,1000,4.980935096740723,6.144898228405509,6.012208497850224,0.7115053914101607,5.475512007251382,15.729795035440475,6.012208497850224,6.274482217850164,6.745378483901732,9.642567441915162,164.07277240702376,166.32823061481764,11.94737558130635,63.573619220525174,182.63132263716534,166.32823061481764,171.45218505962754,172.59393158344045,175.97842535219684,575.0,575.0,575.0,575.0,2438.65234375,2438.65234375,,,3013.65234375,5496.6328125,3013.65234375,,PyTorch-cuda,0.8621626018655619,0.9134990879013785,0.9259696143595444,0,0.9134990879013785,,,,89.601,89.601,89.604,1000,1000,1000,0.0,575.0,575.0,575.0,575.0,1000,0.16996493094151313,0.530414477639948,2.6264907331034517,0.9134990879013785,0.919465572404681,1.311724720966229
