model_name,top1_acc,top5_acc,samples,model_file_mb,param_bytes_mb,lat_mean_ms,lat_median_ms,lat_std_ms,lat_min_ms,lat_max_ms,lat_p50_ms,lat_p90_ms,lat_p95_ms,lat_p99_ms,thr_mean_sps,thr_median_sps,thr_std_sps,thr_min_sps,thr_max_sps,thr_p50_sps,thr_p90_sps,thr_p95_sps,thr_p99_sps,host_peak_delta_mean_mib,host_peak_delta_median_mib,host_peak_delta_p95_mib,host_peak_delta_max_mib,host_steady_mean_delta_median_mib,dev_peak_delta_mean_mib,dev_peak_delta_median_mib,dev_peak_delta_p95_mib,dev_peak_delta_max_mib,dev_steady_mean_delta_median_mib,baseline_idle_host_mib,baseline_postload_host_mib,baseline_idle_dev_mib,baseline_postload_dev_mib,host_global_peak_mib,host_true_os_peak_mib,dev_global_peak_mib,steady_host_mean_delta_mib_median,steady_dev_mean_delta_mib_median,mem_device_backend,energy_mean_j_per_sample,energy_median_j_per_sample,energy_p90_j_per_sample,energy_p95_j_per_sample,energy_p99_j_per_sample,energy_host_median_j_per_sample,energy_gpu_median_j_per_sample,energy_dram_median_j_per_sample,gpu_power_mean_w_median,gpu_power_median_w_median,gpu_power_p95_w_median
convnext_tiny.onnx,0.822,0.966,1000,109.18,109.06,2.6865915169999997,2.5295115,0.4919047679742528,2.215114,12.635807,2.5295115,3.2107359,3.3401095499999998,3.4376478,380.35153947066715,395.33338620643445,51.138311645788654,79.14017680073778,451.4440340316571,395.33338620643445,431.11977768053686,438.4762857783931,449.876511377575,1698.71575,1698.71875,1698.71875,1698.71875,1698.71875,,,,,,959.375,959.375,,,2658.09375,959.375,,1698.71875,,NVIDIA+NVML,1.301560762729062,1.3736801554895939,1.4016964106425642,1.4078715235590935,1.4086897493597865,0,1.3736801554895939,,201.53,201.53,201.53
deit_tiny_distilled_patch16_224.onnx,0.741,0.916,1000,22.67,22.55,2.511030256,2.3246529999999996,0.45822331802011107,2.110265,9.907958,2.3246529999999996,3.144216,3.308803,3.4183164,407.5807057541931,430.1717689833978,55.64361313661695,100.92897042962836,473.8741342911909,430.1717689833978,467.8312248858762,469.87690811872284,472.07165105862947,1609.63671875,1609.63671875,1609.63671875,1609.63671875,1609.63671875,,,,,,1501.7890625,1501.7890625,,,3111.42578125,3166.37109375,,1609.63671875,,NVIDIA+NVML,0.8135458343014478,0.8888496416639536,1.103674446153641,1.1305309598520397,1.1416275515576453,0,0.8888496416639536,,134.185,134.185,134.185
densenet121.onnx,0.733,0.909,1000,30.81,30.67,5.877097725,5.8531475,0.3167800451844409,5.563009,14.560513,5.8531475,5.973168,6.0140885,6.3113086,170.40957917857907,170.8482487432786,5.167209957760507,68.67889888220284,179.75883195587136,170.8482487432786,174.7749423998192,176.26467567673586,178.64747178598762,1231.9453125,1231.9453125,1231.9453125,1231.9453125,1231.9453125,,,,,,1963.32421875,1963.32421875,,,3195.26953125,3682.6484375,,1231.9453125,,NVIDIA+NVML,1.1515105312159275,1.1688571767602116,1.1794757422357798,1.1808762949090452,1.7518692165640557,0,1.1688571767602116,,171.502,171.502,171.502
efficientnet_b0.onnx,0.771,0.929,1000,20.16,20.09,1.973954514,1.972991,0.05057844941497344,1.873167,2.506181,1.972991,1.9981079000000002,2.022154,2.17469989,506.9029633575971,506.8446845856706,11.993844176967144,399.0134790743366,533.8552302063831,506.8446845856706,520.9380670310017,524.5914026165697,531.7783593306407,1148.67578125,1148.67578125,1148.67578125,1148.67578125,1148.67578125,,,,,,2047.93359375,2047.93359375,,,3196.609375,3766.4921875,,1148.67578125,,NVIDIA+NVML,0.5289464033840329,0.57189,0.5733533333333334,0.5733833333333334,1.1678533617307247,0,0.57189,,171.567,171.567,171.567
inception_v3.onnx,0.769,0.931,1000,90.9,90.86,3.720875267,3.4407245,0.7863166982911957,2.943368,16.262851,3.4407245,4.483505,5.0267605,6.0701423,276.6851409580168,290.63646334009695,41.25314415445659,61.48983348614581,339.74684782874584,290.63646334009695,322.2552735708295,326.73546584975253,334.4504090902913,2548.96875,2548.96875,2548.96875,2548.96875,2548.96875,,,,,,2047.77734375,2047.77734375,,,4596.74609375,3769.33203125,,2548.96875,,NVIDIA+NVML,1.3198466234743882,1.3738573275133967,1.4058420443896205,1.412116610969603,2.0379728685251064,0,1.3738573275133967,,201.923,201.923,201.923
levit_128s.onnx,0.741,0.923,1000,31.64,31.5,2.598067594,2.399108,0.4089483091978508,2.131085,10.193405,2.399108,3.0276791000000003,3.2309815,3.39001879,391.61550834390243,416.8216940292003,47.1673840464597,98.10264577930533,469.2445397532243,416.8216940292003,435.7074451260088,443.40825852614296,458.01529625599846,1274.734375,1274.734375,1274.734375,1274.734375,1274.734375,,,,,,2040.29296875,2040.29296875,,,3315.02734375,5618.97265625,,1274.734375,,NVIDIA+NVML,0.9672671949798715,1.0570646630749105,1.0803555228419601,1.0816747980672865,1.0838551652789115,0,1.0570646630749105,,155.85,155.85,155.85
mnasnet1_0.onnx,0.728,0.907,1000,16.67,16.65,1.3055641279999999,1.182056,0.3193383381450634,1.080682,8.350408,1.182056,1.6572759,1.6722225,1.7339841,787.8936689928989,845.9836148968097,111.4578733340304,119.7546275583181,925.3415898478925,845.9836148968097,871.6533199732481,896.9080665547932,918.1494567762704,1271.65234375,1271.65234375,1271.65234375,1271.65234375,1271.65234375,,,,,,2166.40234375,2166.40234375,,,3438.0546875,5618.97265625,,1271.65234375,,NVIDIA+NVML,0.40379220117193565,0.42529000000000006,0.43090666666666666,0.43140333333333336,0.43140333333333336,0,0.42529000000000006,,127.587,127.587,127.587
mobilenet_v2.onnx,0.713,0.906,1000,13.34,13.3,1.426794682,1.529898,0.19000804560891363,0.998752,2.739129,1.529898,1.5719039,1.590307,1.70139289,715.2052951684175,653.6383475784587,109.1942654136469,365.07955631151356,1001.2495594501939,653.6383475784587,923.5969208282326,960.4344282825687,981.0339743044606,1149.5,1149.5,1149.5,1149.5,1149.5,,,,,,2290.76171875,2290.76171875,,,3440.26171875,5618.97265625,,1149.5,,NVIDIA+NVML,0.40452570707138363,0.4221766666666667,0.42444,0.42558333333333337,0.42588000000000004,0,0.4221766666666667,,126.653,126.653,126.653
mobilenet_v3_small.onnx,0.674,0.868,1000,9.71,9.68,1.266822297,1.233741,0.11345267622330917,1.177202,2.463342,1.233741,1.3677691,1.4940365,1.8049576999999999,794.1574248305902,810.542893577905,54.24901187362024,405.9525636310346,849.4718833301337,810.542893577905,825.5634059943992,832.5895625587349,845.3377735420183,1148.4453125,1148.4453125,1148.4453125,1148.4453125,1148.4453125,,,,,,2294.44921875,2294.44921875,,,3442.89453125,5618.97265625,,1148.4453125,,NVIDIA+NVML,0.3645486658175554,0.39431000000000005,0.39529000000000003,0.39548000000000005,0.39548000000000005,0,0.39431000000000005,,118.293,118.293,118.293
mobilevit_xxs.onnx,0.661,0.874,1000,5.04,4.85,2.628635905,2.4626915,0.3361510374741642,2.225853,3.904511,2.4626915,3.1542030000000003,3.25171355,3.4377342,386.16253452610243,406.0597927105531,45.133389688599486,256.1140178629283,449.2659668001436,406.0597927105531,429.10480698301546,433.3055095310689,443.67277029838345,1717.875,1717.875,1717.875,1717.875,1717.875,,,,,,1623.8984375,1623.8984375,,,3341.7734375,5618.97265625,,1717.875,,NVIDIA+NVML,0.7699317328187997,0.8052272769585251,0.8115773170329631,0.8123594946146011,0.8150834107574075,0,0.8052272769585251,,118.186,118.186,118.186
