model_name,top1_acc,top5_acc,samples,model_file_mb,lat_mean,lat_median,lat_std,lat_min,lat_max,lat_p50,lat_p90,lat_p95,lat_p99,thr_mean,thr_median,thr_std,thr_min,thr_max,thr_p50,thr_p90,thr_p95,thr_p99,host_peak_delta_mean_mib,host_peak_delta_median_mib,host_peak_delta_p95_mib,host_peak_delta_max_mib,baseline_idle_host_mib,baseline_postload_host_mib,baseline_idle_dev_mib,baseline_postload_dev_mib,host_global_peak_mib,host_true_os_peak_mib,steady_host_mean_delta_mib_median,steady_dev_mean_delta_mib_median,mem_device_backend,energy_mean_j_per_sample,energy_median_j_per_sample,energy_p95_j_per_sample,energy_host_median_j_per_sample,energy_gpu_median_j_per_sample,energy_dram_median_j_per_sample,energy_mean_j_per_gflop,energy_median_j_per_gflop,gpu_power_mean_w_median,gpu_power_median_w_median,gpu_power_p95_w_median,lat_count,thr_count,host_peak_delta_count_mib,host_peak_delta_std_mib,host_peak_delta_min_mib,host_peak_delta_p50_mib,host_peak_delta_p90_mib,host_peak_delta_p99_mib,energy_count_j_per_sample,energy_std_j_per_sample,energy_min_j_per_sample,energy_max_j_per_sample,energy_p50_j_per_sample,energy_p90_j_per_sample,energy_p99_j_per_sample
convnext_tiny-983f1562.pth,0.822,0.966,1000,109.11867237091064,4.7720273323357105,4.751699045300484,0.15096983687544496,4.435887560248375,7.4648745357990265,4.751699045300484,4.862034320831299,4.910388216376305,5.241664927452803,209.72044695272933,210.4510387804315,5.327264851990666,133.9607243503339,225.43402789587566,210.4510387804315,213.28216130699835,214.53864614573104,217.6249312466765,1740.02634375,1742.58984375,1744.08984375,1744.08984375,810.61328125,810.61328125,,,2556.203125,3008.46875,2553.203125,,PyTorch-cuda,1.230928173340489,1.2290989814214408,1.2472055015906691,0,1.2290989814214408,,,,178.969,178.969,178.969,1000,1000,1000,3.2508900375183463,1727.58984375,1742.58984375,1744.08984375,1744.08984375,1000,0.24527793454294305,0.7214370267093181,5.468486409883015,1.2290989814214408,1.241867209200561,1.8458374093793144
deit_tiny_distilled_patch16_224.pth,0.741,0.916,1000,22.60559368133545,4.853911377489567,4.823493771255016,0.241141490896468,4.392698407173157,7.929030805826187,4.823493771255016,4.938106052577496,5.04926647990942,6.090491991490126,206.40243249822606,207.31860534280042,7.838496340185047,126.11881886815324,227.65050256285005,207.31860534280042,211.21485850623466,213.17453594162183,218.2570573355415,1305.17003125,1305.33203125,1305.33203125,1305.33203125,1408.19921875,1408.19921875,,,2713.53125,3280.29296875,2713.53125,,PyTorch-cuda,0.8515804706715557,0.859186913266778,0.8678340328453109,0,0.859186913266778,,,,125.002,125.002,125.002,1000,1000,1000,0.5500532324771473,1302.33203125,1305.33203125,1305.33203125,1305.33203125,1000,0.2129721248548611,0.1361779406815767,4.302033302684624,0.859186913266778,0.8645547347914427,1.2912529422745853
densenet121-a639ec97.pth,0.733,0.909,1000,30.84464454650879,13.629393506795168,13.58539704233408,0.3758743286429758,12.57314719259739,17.81182736158371,13.58539704233408,13.850116170942783,13.9610780403018,15.188066139817238,73.41949425055742,73.60844860824128,1.7764590431881242,56.142470937978295,79.53458149195642,73.60844860824128,74.70374437494249,75.12807329712358,76.56951402632964,1249.28475,1248.46875,1249.96875,1251.46875,1565.87890625,1565.87890625,,,2818.84765625,3431.4375,2814.34765625,,PyTorch-cuda,2.068539322123413,2.0682758567167907,2.0909951585627864,0,2.0682758567167907,,,,120.208,120.208,120.208,1000,1000,1000,0.8777325415036259,1248.46875,1248.46875,1249.96875,1251.46875,1000,0.31357771828485614,0.38309283021837476,6.617353541103999,2.0682758567167907,2.083721136373468,2.4941697607318907
efficientnet_b0_torchvision.pth,0.771,0.929,1000,20.460320472717285,7.1556547079235315,7.012723013758659,0.6184750049864817,6.375592201948166,12.221109122037888,7.012723013758659,7.503261417150497,7.976267207413912,10.618266500532627,140.51969195782132,142.5979606305931,9.055582598519335,81.82563382866256,156.84817477730675,142.5979606305931,146.71421408198583,148.32725627851744,151.78750396491893,1144.12021875,1143.38671875,1146.38671875,1146.38671875,1670.5703125,1670.5703125,,,2816.95703125,3431.4375,2813.95703125,,PyTorch-cuda,1.2222569191772232,1.2080594703974201,1.5999181097676356,0,1.2080594703974201,,,,117.242,117.242,117.242,1000,1000,1000,1.1026983693166927,1140.38671875,1143.38671875,1146.38671875,1146.38671875,1000,0.30216822829418055,0.27451480335990586,6.429418002787978,1.2080594703974201,1.2166264383466914,2.0186003247564193
inception_v3_google-0cc3c7bd.pth,0.769,0.931,1000,103.90257549285889,10.033059367910028,9.850171394646168,0.7736054305683449,9.196758270263672,22.502638399600983,9.850171394646168,10.473264567553997,10.687830578535793,12.704348266124718,100.0615411900891,101.52107657605595,5.257711555961623,44.439233401969965,108.7339658837559,101.52107657605595,103.17607977983175,103.91938183952175,105.80062444473012,2765.38671875,2765.38671875,2765.38671875,2765.38671875,1668.89453125,1668.89453125,,,4434.28125,5454.89453125,4434.28125,,PyTorch-cuda,1.790541317083242,1.7969757062854865,1.8277571331078808,0,1.7969757062854865,,,,130.569,130.569,130.569,1000,1000,1000,0.0,2765.38671875,2765.38671875,2765.38671875,2765.38671875,1000,0.3136716639587341,0.27297865827878315,6.259092004038393,1.7969757062854865,1.820128730628391,2.6291995889366047
levit_128s.pth,0.741,0.924,1000,29.929027557373047,8.454336907714605,8.416278287768364,0.4469284725457758,7.7831316739320755,20.154299214482307,8.416278287768364,8.560942113399506,8.62623993307352,9.065508153289555,118.45844210802737,118.81736394802147,3.522975403284385,49.61720521056016,128.48298627007492,118.81736394802147,120.41303040223053,121.10833025493316,122.95351339509853,1151.0,1151.0,1151.0,1151.0,2387.1640625,2387.1640625,,,3538.1640625,5454.89453125,3538.1640625,,PyTorch-cuda,1.5547997607122956,1.585942212495953,1.597197279432664,0,1.585942212495953,,,,115.488,115.476,115.488,1000,1000,1000,0.0,1151.0,1151.0,1151.0,1151.0,1000,0.24862206239402668,0.20939298014715316,6.34559782981649,1.585942212495953,1.5949497877140841,1.6197958092612523
mnasnet1.0_top1_73.512-f206786ef8.pth,0.728,0.907,1000,16.915318489074707,4.435067601501942,4.425046965479851,0.20795552467812312,4.030412063002586,8.356796577572823,4.425046965479851,4.513472504913807,4.5508685521781445,4.834630135446786,225.8194847320646,225.98630253272864,7.552025670980844,119.66307791716567,248.11358847884588,225.98630253272864,231.10322260994053,233.81608525811725,238.1006770009864,1144.869375,1145.109375,1145.109375,1145.109375,2390.43359375,2390.43359375,,,3535.54296875,5454.89453125,3535.54296875,,PyTorch-cuda,0.7999788828195513,0.8080029551703483,0.8294204373532903,0,0.8080029551703483,,,,117.49,117.49,117.49,1000,1000,1000,0.5501842443243015,1143.609375,1145.109375,1145.109375,1145.109375,1000,0.2415203095550407,0.13843018994480372,6.079646570468324,0.8080029551703483,0.816318699010089,1.2269098410763761
mobilenet_v2-7ebf99e0.pth,0.713,0.906,1000,13.598034858703613,4.664532544091344,4.628639668226242,0.3703615614366497,4.2699165642261505,13.247990980744362,4.628639668226242,4.715479165315628,4.786121286451817,5.92862881720066,215.0634179130036,216.04619753623635,9.164711754865888,75.48314317646171,234.19661367112286,216.04619753623635,218.9101979741134,222.486455141458,227.67210341648442,1146.5754375,1145.8359375,1147.3359375,1147.3359375,2387.2734375,2387.2734375,,,3534.609375,5454.89453125,3533.109375,,PyTorch-cuda,0.8157160233873628,0.8174072485249491,0.8373258909316732,0,0.8174072485249491,,,,119.007,119.007,119.007,1000,1000,1000,0.7503017411033395,1145.8359375,1145.8359375,1147.3359375,1147.3359375,1000,0.26514655255099173,0.1386806716695428,4.8487006259858605,0.8174072485249491,0.8240003178060055,1.5970531182456016
mobilenet_v3_small-047dcff4.pth,0.674,0.868,1000,9.829092979431152,4.553467225283384,4.528641700744629,0.26743217073929465,4.129417240619659,9.441196918487549,4.528641700744629,4.624181054532528,4.708194825798273,5.175640061497688,220.10219265135447,220.81676274894141,8.595857644801322,105.91877371414863,242.16492103615576,220.81676274894141,224.71266361508557,228.21554484993143,234.32663029153775,1147.77734375,1147.77734375,1147.77734375,1147.77734375,2387.17578125,2387.17578125,,,3534.953125,5454.89453125,3534.953125,,PyTorch-cuda,0.782680272863872,0.7757773486915975,0.7861587791215627,0,0.7757773486915975,,,,112.902,112.902,112.902,1000,1000,1000,0.0,1147.77734375,1147.77734375,1147.77734375,1147.77734375,1000,0.2920110969304424,0.13736786533892156,5.42754147838142,0.7757773486915975,0.7815300915643573,1.5548678492399304
mobilevit_xxs.pth,0.663,0.875,1000,4.980935096740723,7.501300867646933,7.459607906639576,0.39761032858141476,7.012726739048958,16.708996146917343,7.459607906639576,7.627491094172001,7.723527029156685,8.27286446467042,133.53061800267653,134.0553032432602,4.36563518169142,59.84799991617036,142.59788484723086,134.0553032432602,136.26127586756093,137.38246509826757,139.57668752778073,574.0785,574.5,574.5,574.5,2386.73828125,2386.73828125,,,2961.23828125,5454.89453125,2961.23828125,,PyTorch-cuda,1.188759655844989,1.1912001591911539,1.2672502467487936,0,1.1912001591911539,,,,115.515,115.515,115.515,1000,1000,1000,0.9444467850174141,571.5,574.5,574.5,574.5,1000,0.2124083424061701,0.20840553870890294,4.763142008083787,1.1912001591911539,1.203408832223341,1.6092658430681626
