model_name,top1_acc,top5_acc,samples,model_file_mb,lat_mean,lat_median,lat_std,lat_min,lat_max,lat_p50,lat_p90,lat_p95,lat_p99,thr_mean,thr_median,thr_std,thr_min,thr_max,thr_p50,thr_p90,thr_p95,thr_p99,host_peak_delta_mean_mib,host_peak_delta_median_mib,host_peak_delta_p95_mib,host_peak_delta_max_mib,dev_peak_delta_mean_mib,dev_peak_delta_median_mib,dev_peak_delta_p95_mib,dev_peak_delta_max_mib,baseline_idle_host_mib,baseline_postload_host_mib,baseline_idle_dev_mib,baseline_postload_dev_mib,host_global_peak_mib,host_true_os_peak_mib,steady_host_mean_delta_mib_median,steady_dev_mean_delta_mib_median,mem_device_backend,energy_mean_j_per_sample,energy_median_j_per_sample,energy_p95_j_per_sample,energy_host_median_j_per_sample,energy_gpu_median_j_per_sample,energy_dram_median_j_per_sample,energy_mean_j_per_gflop,energy_median_j_per_gflop,gpu_power_mean_w_median,gpu_power_median_w_median,gpu_power_p95_w_median,lat_count,thr_count,host_peak_delta_count_mib,host_peak_delta_std_mib,host_peak_delta_min_mib,host_peak_delta_p50_mib,host_peak_delta_p90_mib,host_peak_delta_p99_mib,dev_peak_delta_count_mib,dev_peak_delta_std_mib,dev_peak_delta_min_mib,dev_peak_delta_p50_mib,dev_peak_delta_p90_mib,dev_peak_delta_p99_mib,energy_count_j_per_sample,energy_std_j_per_sample,energy_min_j_per_sample,energy_max_j_per_sample,energy_p50_j_per_sample,energy_p90_j_per_sample,energy_p99_j_per_sample
convnext_tiny-983f1562.pth,0.822,0.966,1000,109.11867237091064,4.85378912370652,4.791095852851868,0.3896819826693011,4.415803588926792,12.621882371604443,4.791095852851868,5.159982945770025,5.308263516053557,5.700907614082098,206.84796813510403,208.72051727231218,11.029173844650451,79.22748529567258,226.4593476276054,208.72051727231218,216.7337632444907,218.8206345145203,222.0629790975836,1842.683125,1842.9296875,1842.9296875,1842.9296875,140,140,140,140,828.1015625,828.1015625,624,624,2671.96875,3117.37890625,2671.03125,764,PyTorch-cuda,0.8791541397279563,0.8878509182296693,0.9004073999676853,0,0.8878509182296693,,,,130.096,130.096,130.096,1000,1000,1000,0.483605626255005,1834.4921875,1842.9296875,1842.9296875,1842.9296875,1000,0,140,140,140,140,1000,0.12386514673562361,0.3927073532901704,2.243716106885113,0.8878509182296693,0.8971130502982065,1.3351087309350258
deit_tiny_distilled_patch16_224.pth,0.741,0.916,1000,22.60559368133545,4.80064383149147,4.7487556003034115,0.26913301680662693,4.301943816244602,8.531607687473297,4.7487556003034115,5.100379418581724,5.263552395626903,5.576156862080097,208.8688577548472,210.58148750862878,10.244240652759329,117.21120293286222,232.45305906225286,210.58148750862878,219.198287426492,222.00940211472425,226.8072964497023,1527.80859375,1527.80859375,1527.80859375,1527.80859375,6,6,6,6,1524.3671875,1524.3671875,656,656,3052.17578125,3621.2890625,3052.17578125,662,PyTorch-cuda,0.5999803603088733,0.601081718259491,0.6086798742592335,0,0.601081718259491,,,,88.042,88.042,88.042,1000,1000,1000,0.0,1527.80859375,1527.80859375,1527.80859375,1527.80859375,1000,0,6,6,6,6,1000,0.18001863786047295,0.13122950353100896,2.6995924045359714,0.601081718259491,0.6065865366853774,1.498229474429134
densenet121-a639ec97.pth,0.733,0.909,1000,30.84464454650879,13.114724352955818,12.935318518429995,0.6836924679583768,11.934801004827023,20.384708419442177,12.935318518429995,13.936368841677904,14.361502975225449,15.610760850831866,76.4305721377258,77.30772144581172,3.4955105105795083,49.05637988160955,83.78857758881364,77.30772144581172,79.38907881592702,79.92761828982952,81.464916274245,1151.375,1151.375,1151.375,1151.375,24,24,24,24,1904.390625,1904.390625,660,660,3056.703125,3621.2890625,3055.765625,684,PyTorch-cuda,1.4904414970441373,1.4936673266493017,1.5123033993267454,0,1.4936673266493017,,,,87.4805,87.48,87.481,1000,1000,1000,0.0,1151.375,1151.375,1151.375,1151.375,1000,0,24,24,24,24,1000,0.19542652975963065,0.3277690602710936,4.17904109862318,1.4936673266493017,1.5061474786269244,1.8028575825817061
efficientnet_b0_torchvision.pth,0.771,0.929,1000,20.460320472717285,7.0762972654774785,7.006258703768253,0.3034968031241167,6.189650855958462,8.88155959546566,7.006258703768253,7.531676255166531,7.645270274952054,7.8502759616822,141.5673948682214,142.72952831812643,5.85900098300327,112.592837918977,161.56000124584585,142.72952831812643,147.8545990091488,149.10696958571782,151.49176905074572,1153.734375,1153.734375,1153.734375,1153.734375,24,24,24,24,1908.515625,1908.515625,648,648,3062.25,3631.58984375,3062.25,672,PyTorch-cuda,0.8311010331726404,0.8374591572470964,0.8469882468709723,0,0.8374591572470964,,,,81.787,81.787,81.787,1000,1000,1000,0.0,1153.734375,1153.734375,1153.734375,1153.734375,1000,0,24,24,24,24,1000,0.1503520649565541,0.19372018441557884,2.2218842856256025,0.8374591572470964,0.8444164298890159,1.3881477869485155
inception_v3_google-0cc3c7bd.pth,0.77,0.931,1000,103.90257549285889,10.497654853388667,10.332299396395683,0.6978986546793404,9.454102255403996,17.699149437248707,10.332299396395683,11.300084739923477,11.661450564861296,12.634790446609257,95.61498987254,96.783878176612,5.44205618274511,56.49989020915616,105.774189128153,96.783878176612,100.6516864717585,101.17269008181195,104.02207428212358,2076.7880078125,2073.5,2073.5,2731.1015625,22,22,22,22,1914.07421875,1914.07421875,732,732,3987.57421875,5664.07421875,3987.57421875,754,PyTorch-cuda,1.2976940750978716,1.295486285512025,1.3149254798060281,0,1.295486285512025,,,,94.83500000000001,94.83500000000001,94.846,1000,1000,1000,46.40626704722545,2073.5,2073.5,2073.5,2073.5,1000,0,22,22,22,22,1000,0.19974390117993318,0.2809753558461865,3.85263116762313,1.295486285512025,1.3073531812307735,1.9459970643746853
levit_128s.pth,0.741,0.924,1000,29.929027557373047,8.55318375211209,8.410303387790918,0.7655998369318728,7.524905726313591,18.757362850010395,8.410303387790918,9.128143917769194,9.421331807971,11.317054983228445,117.62311777590386,118.9017752175142,8.22262010024373,53.31239833639225,132.89203032845094,118.9017752175142,126.34239147250892,127.68712620080339,129.9915805272074,1189.51171875,1189.51171875,1189.51171875,1189.51171875,6,6,6,6,1941.3359375,1941.3359375,668,668,3130.84765625,5664.07421875,3130.84765625,674,PyTorch-cuda,1.1471133785324914,1.0957366085511941,1.9130622633013794,0,1.0957366085511941,,,,80.357,80.357,80.357,1000,1000,1000,0.0,1189.51171875,1189.51171875,1189.51171875,1189.51171875,1000,0,6,6,6,6,1000,0.5545941933396377,0.20394900608807803,5.703576154857236,1.0957366085511941,1.1215097032085062,3.8535055001081124
mnasnet1.0_top1_73.512-f206786ef8.pth,0.729,0.907,1000,16.915318489074707,4.490926746279001,4.437340423464775,0.34799294479117415,3.9166538044810295,11.255067773163319,4.437340423464775,4.753877222537994,4.8913258127868176,5.3093002643436185,223.5504347675804,225.36021707288808,12.216409372916901,88.8488652537845,255.3199873973808,225.36021707288808,235.43825019685207,237.60486723227072,244.06673297507803,1139.75,1139.75,1139.75,1139.75,24,24,24,24,1939.2890625,1939.2890625,644,644,3079.0390625,5664.07421875,3079.0390625,668,PyTorch-cuda,0.559219143964127,0.5561676117461174,0.5656483022568748,0,0.5561676117461174,,,,81.338,81.338,81.338,1000,1000,1000,0.0,1139.75,1139.75,1139.75,1139.75,1000,0,24,24,24,24,1000,0.1737805130743459,0.1319704021587968,2.753243164675725,0.5561676117461174,0.5614295388964937,1.366085740893602
mobilenet_v2-7ebf99e0.pth,0.713,0.905,1000,13.598034858703613,4.630327147431672,4.582596011459827,0.3333880066849341,4.05852310359478,10.165324434638023,4.582596011459827,4.912619572132826,5.04226884804666,5.579181518405675,216.7458908799898,218.21692279207292,11.405321531460231,98.37364330375246,246.3950492518483,218.21692279207292,227.5236352106118,229.89988711313964,236.05560224714975,1165.7890625,1165.7890625,1165.7890625,1165.7890625,2,2,2,2,1930.5859375,1930.5859375,670,670,3097.3125,5664.07421875,3096.375,672,PyTorch-cuda,0.5482021327833734,0.559461935641244,0.567313932098914,0,0.559461935641244,,,,82.009,82.009,82.012975,1000,1000,1000,0.0,1165.7890625,1165.7890625,1165.7890625,1165.7890625,1000,0,2,2,2,2,1000,0.10124452790194624,0.13384374395012855,1.4394309974213442,0.559461935641244,0.5648315968081355,0.8432624195165606
mobilenet_v3_small-047dcff4.pth,0.673,0.868,1000,9.829092979431152,4.613700986839831,4.5925346203148365,0.15589932323702202,4.196854308247566,5.724309012293816,4.5925346203148365,4.787100851535797,4.855561815202236,5.151159605011344,216.98115991843213,217.7446854890112,6.993752825443936,174.69357399335874,238.27369895467228,217.7446854890112,224.6317534035711,226.29885984064842,230.31209883699563,1143.578125,1143.578125,1143.578125,1143.578125,4,4,4,4,1949.19140625,1949.19140625,668,668,3092.76953125,5664.07421875,3092.76953125,672,PyTorch-cuda,0.5304594516011021,0.5427526010107249,0.5490253961471842,0,0.5427526010107249,,,,79.483,79.483,79.483,1000,1000,1000,0.0,1143.578125,1143.578125,1143.578125,1143.578125,1000,0,4,4,4,4,1000,0.08250654763272802,0.13355022297240796,1.3565627615083942,0.5427526010107249,0.5474316532999277,0.6471149381859214
mobilevit_xxs.pth,0.662,0.875,1000,4.980935096740723,7.73570825252682,7.647545076906681,0.5135672201567036,7.0036230608820915,13.374004513025284,7.647545076906681,8.006588649004698,8.497433457523583,9.970068242400883,129.7094325504253,130.76091701956753,6.74181523244466,74.77192033441251,142.78324108922735,130.76091701956753,135.17348909182073,136.18180172937232,138.45519592170956,558.359375,558.359375,558.359375,558.359375,24,24,24,24,1944.421875,1944.421875,648,648,2502.78125,5664.07421875,2502.78125,672,PyTorch-cuda,0.855927721050632,0.8428693812573329,1.1180278791595872,0,0.8428693812573329,,,,82.032,82.032,82.032,1000,1000,1000,0.0,558.359375,558.359375,558.359375,558.359375,1000,0,24,24,24,24,1000,0.1588006365606381,0.20639409792423247,2.256109125081982,0.8428693812573329,0.9275141877588354,1.3807573531943607
