model_name,top1_acc,top5_acc,samples,model_file_mb,param_bytes_mb,lat_mean_ms,lat_median_ms,lat_std_ms,lat_min_ms,lat_max_ms,lat_p50_ms,lat_p90_ms,lat_p95_ms,lat_p99_ms,thr_mean_sps,thr_median_sps,thr_std_sps,thr_min_sps,thr_max_sps,thr_p50_sps,thr_p90_sps,thr_p95_sps,thr_p99_sps,host_peak_delta_mean_mib,host_peak_delta_median_mib,host_peak_delta_p95_mib,host_peak_delta_max_mib,host_steady_mean_delta_median_mib,dev_peak_delta_mean_mib,dev_peak_delta_median_mib,dev_peak_delta_p95_mib,dev_peak_delta_max_mib,dev_steady_mean_delta_median_mib,baseline_idle_host_mib,baseline_postload_host_mib,baseline_idle_dev_mib,baseline_postload_dev_mib,host_global_peak_mib,host_true_os_peak_mib,dev_global_peak_mib,steady_host_mean_delta_mib_median,steady_dev_mean_delta_mib_median,mem_device_backend,energy_mean_j_per_sample,energy_median_j_per_sample,energy_p90_j_per_sample,energy_p95_j_per_sample,energy_p99_j_per_sample,energy_host_median_j_per_sample,energy_gpu_median_j_per_sample,energy_dram_median_j_per_sample,gpu_power_mean_w_median,gpu_power_median_w_median,gpu_power_p95_w_median
convnext_tiny.onnx,0.822,0.966,1000,109.18,109.06,2.2777092300000006,2.24385,0.2875259589880801,2.094663,10.955361,2.24385,2.3435349000000003,2.39810205,2.6437323,440.9243134839074,445.6625891217376,18.59086615230471,91.27951146475228,477.4037637557927,445.6625891217376,452.3495035076891,454.5048500135591,472.35303526757076,1842.98653125,1843.01953125,1843.01953125,1843.01953125,1843.01953125,,,,,,962.3203125,962.3203125,,,2805.33984375,962.3203125,,1843.01953125,,NVIDIA+NVML,0.8717964035153778,0.9508622843269259,0.9629771807467565,0.9666858451389708,0.9754749610564298,0,0.9508622843269259,,140.345,140.345,140.345
deit_tiny_distilled_patch16_224.onnx,0.741,0.916,1000,22.67,22.55,1.475483255,1.45779,0.2712925526426432,1.377359,9.433011,1.45779,1.533544,1.5982395,1.7114075999999998,683.10474992398,685.9698584844183,38.54767998162466,106.01068948186321,726.0271287296921,685.9698584844183,712.7197671695235,715.375896096497,719.8238798306393,1531.921875,1531.921875,1531.921875,1531.921875,1531.921875,,,,,,1652.14453125,1652.14453125,,,3184.06640625,3314.94140625,,1531.921875,,NVIDIA+NVML,0.32730279198670564,0.3570366666666667,0.3586633333333334,0.3589066666666667,0.3589066666666667,0,0.3570366666666667,,107.111,107.111,107.111
densenet121.onnx,0.733,0.908,1000,30.81,30.67,3.9402050089999996,3.900385,0.18189267752584884,3.642783,5.336424,3.900385,4.1364501,4.315742,4.6991441,254.27649953562502,256.38494667491534,10.516661568149853,187.39140667982903,274.5153911171761,256.38494667491534,261.9098948392832,268.7857339977348,272.8884662284305,1149.44921875,1149.44921875,1149.44921875,1149.44921875,1149.44921875,,,,,,2036.12890625,2036.12890625,,,3185.578125,3754.2890625,,1149.44921875,,NVIDIA+NVML,0.7169531558935568,0.7449557340824977,0.7501298918053507,0.752155130471941,0.7539422241929545,0,0.7449557340824977,,109.698,109.698,109.698
efficientnet_b0.onnx,0.771,0.929,1000,20.16,20.09,1.327535326,1.276363,0.4156529717165108,1.200117,13.208456,1.276363,1.4436359,1.5468935,1.7404940999999998,764.967237865975,783.476176803011,55.293712542906164,75.70907606460588,833.252091254436,783.476176803011,795.3994101035058,798.2496010745505,826.2011720764897,1180.5234375,1180.5234375,1180.5234375,1180.5234375,1180.5234375,,,,,,2037.25,2037.25,,,3217.7734375,3758.80078125,,1180.5234375,,NVIDIA+NVML,0.3106306458022582,0.33121666666666666,0.33940333333333333,0.33953333333333335,0.33953333333333335,0,0.33121666666666666,,99.365,99.365,99.365
inception_v3.onnx,0.769,0.931,1000,90.9,90.86,2.2362870549999996,2.1114889999999997,0.48703109202160566,2.029983,10.100455,2.1114889999999997,2.588299,2.8054989999999997,3.8854600099999987,456.3916677795436,473.5994366760388,48.87454199077009,99.00544084400158,492.61496278540267,473.5994366760388,486.191670373964,487.76823612576646,490.5731987009956,2514.34765625,2514.34765625,2514.34765625,2514.34765625,2514.34765625,,,,,,2069.40234375,2069.40234375,,,4583.75,3759.91796875,,2514.34765625,,NVIDIA+NVML,0.6098105717672317,0.4798900000000001,0.9754502730704845,0.9813209863228723,0.9991983886779284,0,0.4798900000000001,,142.107,142.107,142.107
levit_128s.onnx,0.741,0.924,1000,31.64,31.5,1.547461103,1.4602594999999998,0.3886430173913117,1.411639,6.579033,1.4602594999999998,1.5653861000000002,1.9940265000000001,3.6188153999999995,663.7440397859891,684.8097889804541,75.17542338946173,151.99802159375093,708.3964101303519,684.8097889804541,698.5420241504687,700.9828129545368,705.1689874026986,1149.3553125,1149.4453125,1149.4453125,1149.4453125,1149.4453125,,,,,,2543.1640625,2543.1640625,,,3692.609375,5603.9296875,,1149.4453125,,NVIDIA+NVML,0.3420784290444536,0.35539333333333334,0.3594366666666667,0.35995333333333335,0.734549972249493,0,0.35539333333333334,,106.544,106.544,106.544
mnasnet1_0.onnx,0.728,0.907,1000,16.67,16.65,0.768395143,0.76624,0.04079707874736707,0.704084,1.235028,0.76624,0.7965889,0.8331605,0.9473621,1304.465720418942,1305.0741287106184,58.2555884633479,809.6982416592984,1420.2850796211815,1305.0741287106184,1356.0921763871872,1372.6467611047474,1380.7526328052513,1149.00546875,1149.48046875,1149.48046875,1149.48046875,1149.48046875,,,,,,2544.515625,2544.515625,,,3693.99609375,5603.9296875,,1149.48046875,,NVIDIA+NVML,0.2573592033333333,0.27987,0.2809466666666667,0.28114666666666666,0.28114666666666666,0,0.27987,,83.961,83.961,83.961
mobilenet_v2.onnx,0.713,0.906,1000,13.34,13.3,0.75252687,0.7473045,0.04235311553608204,0.722335,1.780601,0.7473045,0.771025,0.7781794999999999,0.9448097999999999,1331.3660324429347,1338.1426188131954,47.46073312627395,561.6081311871666,1384.3992053548561,1338.1426188131954,1368.159187516631,1372.5056511353155,1377.6309845342228,1148.4453125,1148.4453125,1148.4453125,1148.4453125,1148.4453125,,,,,,2545.66015625,2545.66015625,,,3694.10546875,5603.9296875,,1148.4453125,,NVIDIA+NVML,0.26846372045410816,0.2827733333333333,0.28318333333333334,0.2832233333333333,0.2832233333333333,0,0.2827733333333333,,84.832,84.832,84.832
mobilenet_v3_small.onnx,0.673,0.868,1000,9.71,9.68,0.888508278,0.8903405,0.03811277784672628,0.838336,1.753581,0.8903405,0.90135,0.91060645,0.9502130999999999,1126.898193728809,1123.1658000793464,34.47356010245018,570.2616531543167,1192.839148026567,1123.1658000793464,1167.4809846677842,1172.409156029297,1187.8108278238471,1148.76953125,1148.76953125,1148.76953125,1148.76953125,1148.76953125,,,,,,2545.8046875,2545.8046875,,,3694.57421875,5603.9296875,,1148.76953125,,NVIDIA+NVML,0.23420849280034878,0.25419,0.2546066666666667,0.2549,0.2549,0,0.25419,,76.257,76.257,76.257
mobilevit_xxs.onnx,0.663,0.874,1000,5.04,4.85,1.6524975720000001,1.653171,0.0952933918180952,1.537099,3.944345,1.653171,1.6793221,1.6934669500000001,1.8380927999999992,606.3063469260231,604.8981019123794,21.43228407203641,253.52751851067794,650.5761827962936,604.8981019123794,625.2669111843911,627.2712905921668,630.1643189574504,1811.5859375,1811.5859375,1811.5859375,1811.5859375,1811.5859375,,,,,,1638.93359375,1638.93359375,,,3450.51953125,5603.9296875,,1811.5859375,,NVIDIA+NVML,0.290270736887913,0.30319666666666667,0.31371333333333334,0.31406666666666666,0.31406666666666666,0,0.30319666666666667,,90.959,90.959,90.959
