model_name,top1_acc,top5_acc,samples,model_file_mb,lat_mean,lat_median,lat_std,lat_min,lat_max,lat_p50,lat_p90,lat_p95,lat_p99,thr_mean,thr_median,thr_std,thr_min,thr_max,thr_p50,thr_p90,thr_p95,thr_p99,host_peak_delta_mean_mib,host_peak_delta_median_mib,host_peak_delta_p95_mib,host_peak_delta_max_mib,baseline_idle_host_mib,baseline_postload_host_mib,baseline_idle_dev_mib,baseline_postload_dev_mib,host_global_peak_mib,host_true_os_peak_mib,steady_host_mean_delta_mib_median,steady_dev_mean_delta_mib_median,mem_device_backend,energy_mean_j_per_sample,energy_median_j_per_sample,energy_p95_j_per_sample,energy_host_median_j_per_sample,energy_gpu_median_j_per_sample,energy_dram_median_j_per_sample,energy_mean_j_per_gflop,energy_median_j_per_gflop,gpu_power_mean_w_median,gpu_power_median_w_median,gpu_power_p95_w_median,lat_count,thr_count,host_peak_delta_count_mib,host_peak_delta_std_mib,host_peak_delta_min_mib,host_peak_delta_p50_mib,host_peak_delta_p90_mib,host_peak_delta_p99_mib,energy_count_j_per_sample,energy_std_j_per_sample,energy_min_j_per_sample,energy_max_j_per_sample,energy_p50_j_per_sample,energy_p90_j_per_sample,energy_p99_j_per_sample
convnext_tiny-983f1562.pth,0.822,0.966,1000,109.11867237091064,4.0053304163739085,3.9485301822423935,0.6313385679201412,3.7285741418600082,15.66541288048029,3.9485301822423935,4.06942144036293,4.181361012160778,4.451676197350024,251.65346698278034,253.2587967010833,13.634242555765937,63.834895870892666,268.1990385475204,253.2587967010833,259.4800472637406,261.1464347165897,263.2385284920293,1835.67634375,1836.15234375,1837.15234375,1838.15234375,809.2890625,809.2890625,,,2648.44140625,3101.72265625,2645.44140625,,PyTorch-cuda,0.7494093556753935,0.754457337141037,0.7605636097556912,0,0.754457337141037,,,,110.88,110.88,110.88,1000,1000,1000,1.6235947955262915,1825.15234375,1836.15234375,1837.15234375,1838.15234375,1000,0.11004480726188479,0.43557979119941587,2.373889203090221,0.754457337141037,0.7590626843702049,1.1302355472788912
deit_tiny_distilled_patch16_224.pth,0.741,0.916,1000,22.60559368133545,3.9600346880033612,3.8615847006440163,0.568648666735966,3.5543926060199738,15.663252212107182,3.8615847006440163,4.260194953531027,4.428033344447613,4.7271099127829075,254.50716473168552,258.96104276649123,16.569405828168083,63.84370157986939,281.3420212236342,258.96104276649123,268.31932993643153,274.28332742469456,277.94378622637316,1131.3671875,1131.1171875,1132.1171875,1132.1171875,1500.02734375,1500.02734375,,,2632.14453125,3486.3984375,2631.14453125,,PyTorch-cuda,0.564644237308762,0.5794182301051914,0.5831746267039329,0,0.5794182301051914,,,,85.211,85.211,85.211,1000,1000,1000,0.7823759403970141,1129.1171875,1131.1171875,1132.1171875,1132.1171875,1000,0.09932939388167226,0.20158362985774875,1.9375913731986658,0.5794182301051914,0.5822979727668688,0.5868033235576003
densenet121-a639ec97.pth,0.733,0.909,1000,30.84464454650879,11.849781574681401,11.633255984634161,0.8443813961945306,10.740339756011963,20.267200656235218,11.633255984634161,12.577584572136402,13.43968315050006,15.45657186768949,84.7350425046789,85.96045698149726,4.9169278613091585,49.34080522325856,93.10692424234016,85.96045698149726,88.22645778922954,89.02284652000186,91.99881242531637,1347.7101875,1346.7421875,1350.7421875,1350.7421875,1484.6171875,1484.6171875,,,2835.359375,3486.3984375,2831.359375,,PyTorch-cuda,1.1696224718765564,1.1354016888793557,1.4226366430987256,0,1.1354016888793557,,,,83.388,83.388,83.388,1000,1000,1000,1.2579978372630691,1346.7421875,1346.7421875,1349.7421875,1350.7421875,1000,0.16116644056069565,0.40533635549247266,2.1930448976333716,1.1354016888793557,1.4155167072617914,1.6961252341270299
efficientnet_b0_torchvision.pth,0.771,0.929,1000,20.460320472717285,6.139023620635271,5.874167662113905,0.9751522418628993,5.644476041197777,22.48950581997633,5.874167662113905,6.564864236861467,7.539099454879761,10.690697189420462,165.16656846586653,170.2368842130428,15.35068508073196,44.4651833617326,177.16436259118157,170.2368842130428,174.13223373565896,174.6016021038382,175.81879792002593,1153.42566796875,1153.83984375,1153.83984375,1320.6640625,1687.63671875,1687.63671875,,,2841.4765625,3577.8125,2841.4765625,,PyTorch-cuda,0.617527496269123,0.5494073573369533,0.8303433156280545,0,0.5494073573369533,,,,80.573,80.573,80.573,1000,1000,1000,5.390253539212306,1150.83984375,1153.83984375,1153.83984375,1153.83984375,1000,0.16032650643900706,0.20168306538835168,1.460263661555946,0.5494073573369533,0.823575316562131,1.1309023061406116
inception_v3_google-0cc3c7bd.pth,0.769,0.931,1000,103.90257549285889,8.697531945072114,8.489750325679779,0.7132483721324203,7.738740183413029,18.537799827754498,8.489750325679779,9.694313537329435,10.008341213688254,10.85763537324965,115.6001246392567,117.78909424189665,7.834546325970477,53.9438341815956,129.2199991599884,117.78909424189665,122.90242441617679,123.99529903691429,125.82243377167586,2758.9921875,2758.9921875,2758.9921875,2758.9921875,1693.953125,1693.953125,,,4452.9453125,5472.953125,4452.9453125,,PyTorch-cuda,1.1751082693349821,1.2130180120915175,1.2379818374756724,0,1.2130180120915175,,,,89.353,89.353,89.353,1000,1000,1000,0.0,2758.9921875,2758.9921875,2758.9921875,2758.9921875,1000,0.138946700708741,0.4026336209575335,2.0883110386747865,1.2130180120915175,1.2340723867651076,1.2475670794173084
levit_128s.pth,0.741,0.924,1000,29.929027557373047,7.047514787875116,7.046660408377647,0.36603900802472594,6.493772380053997,15.91237261891365,7.046660408377647,7.210511900484562,7.3108268436044455,7.661243230104446,142.13391692782724,141.91119515046557,4.947129875599267,62.84417942874133,153.99369449282804,141.91119515046557,147.45654496308364,149.04345171727437,151.1589928269543,1157.969,1158.0,1158.0,1158.0,2407.76171875,2407.76171875,,,3565.76171875,5472.953125,3565.76171875,,PyTorch-cuda,0.7864606878503025,0.7994213296766393,0.8044704952854662,0,0.7994213296766393,,,,78.354,78.354,78.354,1000,1000,1000,0.17340435135563656,1157.0,1158.0,1158.0,1158.0,1000,0.08704949808920266,0.2964142759591341,1.701405317703883,0.7994213296766393,0.8032837043698411,0.8103959418142865
mnasnet1.0_top1_73.512-f206786ef8.pth,0.729,0.907,1000,16.915318489074707,3.814177737571299,3.8062450475990772,0.2208037612623262,3.4869126975536346,9.150359779596329,3.8062450475990772,3.957550786435604,4.010467929765582,4.284310452640057,262.7475238034662,262.72612180799706,10.675908168167977,109.28532036847575,286.78664673812597,262.72612180799706,275.64978298125317,279.1413667262881,282.81487049366956,1141.0390625,1141.0390625,1141.0390625,1141.0390625,2417.578125,2417.578125,,,3558.6171875,5472.953125,3558.6171875,,PyTorch-cuda,0.5269060639484269,0.5425722386967391,0.5467348896051758,0,0.5425722386967391,,,,79.793,79.793,79.793,1000,1000,1000,0.0,1141.0390625,1141.0390625,1141.0390625,1141.0390625,1000,0.06687572605326626,0.1965743658654392,1.0940340939089657,0.5425722386967391,0.5455650424472988,0.5511726167869382
mobilenet_v2-7ebf99e0.pth,0.713,0.905,1000,13.598034858703613,3.947281412780285,3.9453706704080105,0.172709800853732,3.6131925880908966,6.317221559584141,3.9453706704080105,4.115017969161272,4.192829970270395,4.421306336298585,253.77970724554447,253.46161253713552,10.222533182356353,158.2974398741572,276.763547920475,253.46161253713552,267.33290269794384,269.79752209094033,273.7541084101126,1150.0,1150.0,1150.0,1150.0,2410.890625,2410.890625,,,3560.890625,5472.953125,3560.890625,,PyTorch-cuda,0.528663256240948,0.5410129273897036,0.5450892101097852,0,0.5410129273897036,,,,79.606,79.606,79.606,1000,1000,1000,0.0,1150.0,1150.0,1150.0,1150.0,1000,0.07491628516175347,0.19723496517166494,1.0850676604285836,0.5410129273897036,0.5438459141498431,0.8069399090174026
mobilenet_v3_small-047dcff4.pth,0.672,0.868,1000,9.829092979431152,4.00086260214448,3.9605312049388885,0.18387267178191835,3.6038532853126526,5.045733414590359,3.9605312049388885,4.253024887293577,4.337884671986103,4.5176090113818645,250.45341871313659,252.49138295276418,11.07759720655574,198.18724411963126,277.48077427997873,252.49138295276418,262.2917580649204,266.4417763676868,271.68539250149104,1148.558,1149.0,1149.0,1149.0,2412.94921875,2412.94921875,,,3561.94921875,5472.953125,3561.94921875,,PyTorch-cuda,0.5034771601578677,0.5181799905532971,0.522225534053985,0,0.5181799905532971,,,,76.193,76.193,76.204,1000,1000,1000,0.49687310541312535,1148.0,1149.0,1149.0,1149.0,1000,0.06274042256550617,0.1968944289162755,0.6768234843537211,0.5181799905532971,0.5211485327063129,0.5248232185132429
mobilevit_xxs.pth,0.663,0.875,1000,4.980935096740723,6.5398182747885585,6.526762153953314,0.3821253542251876,5.923278629779816,14.280103147029877,6.526762153953314,6.709708925336599,6.8136779591441154,7.770362989977002,153.26715808983786,153.21532737443204,6.435434620638315,70.02750538310995,168.82541958644492,153.21532737443204,159.36736046770878,161.39423575810812,165.1371554584476,575.0,575.0,575.0,575.0,2413.83984375,2413.83984375,,,2988.83984375,5472.953125,2988.83984375,,PyTorch-cuda,0.8053963842359224,0.820421246899059,0.8260706841255538,0,0.820421246899059,,,,80.48,80.48,80.48,1000,1000,1000,0.0,575.0,575.0,575.0,575.0,1000,0.0913696876164815,0.3036358453296125,1.7509538418170996,0.820421246899059,0.8246288077217526,0.8391188584713963
